# Review queue only: no row is a game-visible name until it is source-reviewed and added to dynamic_location_name_overrides.csv.
location,vanilla_name,pleiades_title,pleiades_id,feature_types,min_date,max_date,latitude,longitude,offset_px,source
aachen,Aachen,Stolberg-Breinigerberg,109353,settlement,-30,300,50.73718,6.23875,2.81,PLE:109353
acerenza,Acerenza,Cancellara,442522,settlement,-750,1999,40.73126,15.92674,1.40,PLE:442522
acre,Acre,Gaba?,678137,settlement,-30,640,32.73036,35.10690,0.66,PLE:678137
acre,Acre,Jellemeh/Jalame,678212,settlement,-330,2099,32.71773,35.09433,1.36,PLE:678212
acre,Acre,Beth She'arim,678063,settlement,-30,640,32.70009,35.13540,1.78,PLE:678063
acre,Acre,Tel Qashish,604019428,settlement,-10000,2100,32.68518,35.10962,2.62,PLE:604019428
ad_disah,Ad-Disah,Laba,814697,settlement,-330,300,27.51771,36.33554,1.95,PLE:814697
afrin,Afrin,Gindaros,658475,settlement,-330,640,36.38410,36.70211,2.64,PLE:658475
aix_en_provence,Aix-en-Provence,Massalia/Massilia,148127,settlement,-750,2100,43.29685,5.38250,3.02,PLE:148127
akhaltsikhe,Akhaltsikhe,Akhaltsikhe,863727,settlement,-30,640,41.63236,42.98459,2.89,PLE:863727
akhisar,Akhisar,Tyanollos,550949,settlement,-330,300,38.72487,27.73720,2.34,PLE:550949
akhisar,Akhisar,Hyrkanis,550588,settlement,-330,640,38.66754,27.66710,2.46,PLE:550588
aksaray,Aksaray,Koropassos,619194,settlement,-30,300,38.30770,33.79202,3.01,PLE:619194
al_mima,Al-Mima,Phragonis,727201,settlement,-30,640,31.24794,30.93452,2.34,PLE:727201
al_mukha,Al-Mukhā,Ailou Kome,39277,settlement,-30,300,13.87101,43.37661,1.90,PLE:39277
al_wajh,Al-Waǧh,Egra,814674,settlement,-330,300,26.21497,36.47742,2.15,PLE:814674
al_wajh,Al-Waǧh,Phoinikon Kome,814719,settlement,-330,300,26.22877,36.46906,2.53,PLE:814719
alaiye,Alaiye,Augai,638780,settlement,-30,300,36.57118,31.86296,2.12,PLE:638780
alba,Alba,Vicus Baginas,383822,settlement,-30,1999,44.44898,7.88072,3.08,PLE:383822
albenga,Albenga,Portus Maurici,157908,"station, settlement-modern",-30,2099,43.87369,8.01513,3.14,PLE:157908
albenga,Albenga,Lucus Bormani,157879,settlement,-30,1999,43.91129,8.08057,3.23,PLE:157879
aleppo,Aleppo,Chalcis ad Belum,668226,settlement,-330,2100,36.00796,37.00972,1.79,PLE:668226
alicante,Alicante,Illikitanos Limen,265926,settlement,-30,640,38.18496,-0.61447,1.90,PLE:265926
alicante,Alicante,Alonis,265796,settlement,-550,640,38.19229,-0.55522,2.87,PLE:265796
almazan,Almazán,*Cortona,246359,settlement,-330,300,41.17257,-2.43309,2.64,PLE:246359
almazan,Almazán,Okilis,246528,settlement,-330,300,41.17244,-2.43313,2.64,PLE:246528
amboise,Amboise,Lucas,138429,settlement,-30,640,47.12877,0.99834,2.30,PLE:138429
anagni,Anagni,Treba,433162,settlement,-330,640,41.86266,13.25013,0.63,PLE:433162
anamur,Anamur,Syke/Setos?,648784,settlement,-550,640,36.10615,33.02380,1.61,PLE:648784
anamur,Anamur,Arsinoe,648571,settlement,-330,640,36.09470,33.03125,2.39,PLE:648571
anamur,Anamur,Nagidos,648717,settlement,-750,640,36.10083,32.97660,2.40,PLE:648717
ancares_range,Ancares Range,Castro Ventosa,236418,"fortified-settlement, settlement",-330,300,42.59937,-6.75467,0.51,PLE:236418
ancares_range,Ancares Range,Bergidum Flavium,236370,settlement,-30,640,42.59982,-6.72566,0.95,PLE:236370
andravida,Andravída,Pheia,570592,settlement,-550,300,37.66072,21.31125,2.25,PLE:570592
andritsaina,Andrítsaina,Kyparissia,570397,settlement,-750,300,37.24853,21.68116,1.31,PLE:570397
annecy,Annecy,Châteauneuf-les-Boissons,167711,settlement,-30,640,45.55432,6.18998,1.36,PLE:167711
antequera,Antequera,Iluro,256225,settlement,-330,300,36.82261,-4.70667,2.42,PLE:256225
anuradhapura,Anuradhapura,Anurādhapura,49863,"settlement, settlement-modern",-30,2099,8.32444,80.41276,1.90,PLE:49863
aqaba,Aqaba,Aelana/Aila,746700,"fortified-settlement, settlement, port",-2600000,2099,29.53063,34.99997,2.94,PLE:746700
arcos_de_la_frontera,Arcos de la Frontera,Saguntia,256412,settlement,-30,640,36.55211,-5.83416,1.09,PLE:256412
arcos_de_la_frontera,Arcos de la Frontera,Lascutana Turris,256259,"tower-single, settlement",-330,2100,36.53363,-5.78593,1.94,PLE:256259
argyrokastro,Argyrókastro,Kodra e Ducës,530954,settlement,-330,640,39.78112,20.27080,3.06,PLE:530954
ariano,Ariano,Vescellium?,442849,settlement,-550,1999,41.24620,14.96392,1.19,PLE:442849
arroyo,Arroyo del Fresno,Norba/Col. Norbensis Caesarina,256327,"settlement, settlement-modern",-30,2100,39.47434,-6.37221,3.10,PLE:256327
arzew,Arzew,Gent,285445,settlement,-30,300,35.36522,-0.35433,2.29,PLE:285445
asola,Asola,Dugali Alti,584982268,settlement,-10000,1999,45.24102,10.26895,2.54,PLE:584982268
astros,Ástros,Selinous,570660,settlement,-550,300,37.02510,22.68300,2.61,PLE:570660
atalanti,Atalánti,Alalkomenai,540619,settlement,-550,1999,38.39252,23.01870,1.27,PLE:540619
atalanti,Atalánti,Haliartos,540801,"settlement, acropolis",-750,640,38.37832,23.08660,2.60,PLE:540801
atfih,Atfih,Bakchias,736896,"settlement, archaeological-site",-330,2100,29.53695,31.00416,2.87,PLE:736896
avellino,Avellino,Caudium,432773,settlement,-750,1999,41.06255,14.63676,2.31,PLE:432773
ayvacik,Ayvacık,Methymna,550738,settlement,-750,640,39.36917,26.17689,0.17,PLE:550738
ayvacik,Ayvacık,Petra,550816,"settlement, settlement-modern",-30,2100,39.32737,26.17556,2.43,PLE:550816
baalbek,Baalbek,*Thamaneita,678421,settlement,-30,300,33.88144,35.97893,1.81,PLE:678421
baalbek,Baalbek,Nihata,678308,"settlement, temple-2",-30,300,33.89511,35.96289,2.88,PLE:678308
babadag,Babadag,Casian,39219089,"settlement, villa",-30,2099,44.49989,28.47909,2.99,PLE:39219089
backnang,Backnang,Steinheim,118974,"settlement, quarry",-30,300,48.96548,9.27857,3.13,PLE:118974
bades_mountain1,Aures Mountains,Untitled,208943185,"settlement, feature",-30,640,35.21197,5.88746,0.52,PLE:208943185
baena,Baena,Cisimbrium,265867,settlement,-330,2100,37.38540,-4.38714,1.94,PLE:265867
baghai,Baghaï,Untitled,208942642,"settlement, feature",-30,640,35.28526,7.17399,2.93,PLE:208942642
bahla,Bahlā',Salut,885585407,settlement,-2600,1399,22.74673,57.23115,3.14,PLE:885585407
baku,Baku,Baku,46154574,settlement,-30,2100,40.39528,49.88222,2.52,PLE:46154574
ballsh,Ballsh,Resulaj,481973,settlement,-330,640,40.52810,19.61472,2.68,PLE:481973
bandirma,Bandirma,Poimanenon,511368,settlement,-30,640,40.07897,27.89230,2.75,PLE:511368
baqubah,Baqubah,Tulul Khattab,894167,"settlement, findspot",-750,2100,33.47768,44.51279,2.01,PLE:894167
bar_le_duc,Bar-le-Duc,Caturicis,108872,settlement,-30,640,48.77371,5.16054,2.07,PLE:108872
barca,Barca,Chairekla,373767,settlement,-550,640,32.25420,20.64405,2.97,PLE:373767
barcelos,Barcelos,Cividade de Bagunte,933509319,"settlement, archaeological-site",-750,300,41.38350,-8.65564,2.70,PLE:933509319
barcelos,Barcelos,Avobriga/Abobrica,260499,"unlocated, settlement",-30,300,41.30084,-8.61835,3.22,PLE:260499
barcelos,Barcelos,Castro de Alvarelhos,886273706,settlement,-330,640,41.30084,-8.61835,3.22,PLE:886273706
bauge,Baugé,*Carnona,138271,settlement,-330,640,47.30629,-0.16119,1.42,PLE:138271
bayramic,Bayramiç,Lamponia,550678,settlement,-550,300,39.53811,26.42123,1.95,PLE:550678
bedia,Bedia,Gyenos/Cygnus,857143,settlement,-750,640,42.75581,41.40312,2.46,PLE:857143
beersheba,Beersheba,Elousa,687890,settlement,-330,640,31.09686,34.65512,2.05,PLE:687890
beja_TUN,Beja,*Geumi,314964,settlement,-30,640,36.39681,9.14572,1.61,PLE:314964
beja_TUN,Beja,Henchir Hnich,546680198,"settlement, archaeological-site",-30,2099,36.34784,9.10115,1.99,PLE:546680198
beja_TUN,Beja,Musti,315085,"settlement, archaeological-site",-330,2099,36.33658,9.14405,2.08,PLE:315085
beja_TUN,Beja,Bordj-Mohammed-ben-Sultan,314911,settlement,-330,300,36.38697,9.08635,2.37,PLE:314911
beja_TUN,Beja,Aunobari,314894,settlement,-330,640,36.38323,9.19136,2.70,PLE:314894
beja_TUN,Beja,Tac(...),315183,settlement,-30,640,36.33085,9.17516,3.05,PLE:315183
bekarlar,Bekarlar,Nora/Neroassos,619221,settlement,-330,640,38.27193,34.37459,1.45,PLE:619221
belley,Belley,Augusta,167659,"settlement, settlement-modern",-30,2100,45.58716,5.60748,2.29,PLE:167659
beni_suef,Beni Suef,Krokodilopolis/Ptolemais Euergetis,736948,settlement,-2600000,2100,29.31496,30.83996,2.87,PLE:736948
beni_suef,Beni Suef,Tebetny,737071,settlement,-330,640,29.23061,30.80835,3.10,PLE:737071
bergheim,Bergheim,Tiberiacum?,109378,settlement,-30,640,50.94385,6.62202,2.51,PLE:109378
besni,Behisna,Adatha,658366,settlement,-30,640,37.70510,37.42580,1.98,PLE:658366
beyza,Beyzā,Tal-i Malyan/[Anzan],922729,"settlement, archaeological-site",-4000,2100,30.00322,52.41036,2.01,PLE:922729
birjand,Bīrjand,Lakh-mazar,29640,settlement,-30,640,32.68462,59.43650,2.41,PLE:29640
biskra,Biskra,Untitled,208942716,"settlement, feature",-30,640,34.63481,5.81615,1.48,PLE:208942716
bitburg,Bitburg,Beda,108798,settlement,-30,640,49.97438,6.52351,1.49,PLE:108798
bolzano,Bolzano,Salurnis,187536,settlement,-30,640,46.24021,11.21307,1.21,PLE:187536
