good	local_deficit	source_market	distance	their_surplus	their_available_to_trade
antq_grain_products	5.02679	Hippo Diarrhytus	128	2.03425	2.03425
antq_grain_products	5.02679	Massilia	135	0.38219	0.38219
antq_grain_products	5.02679	Carthago	146	1.5661	1.5661
antq_grain_products	5.02679	Hippo Regius	146	1.19853	1.19853
antq_grain_products	5.02679	Hadrumetum	164	2.01813	2.01813
antq_grain_products	5.02679	Mutina	164.1873	2.22429	2.22429
antq_grain_products	5.02679	Tacape	215	1.23468	1.23468
antq_grain_products	5.02679	Tarraco	217	0.59132	0.59132
antq_grain_products	5.02679	Mediolanum	219.70292	0.33645	0.33645
antq_grain_products	5.02679	Tarentum	222	0.3094	0.3094
antq_grain_products	5.02679	Ravenna	343.31328	1.92929	1.92929
antq_grain_products	5.02679	Corduba	486.42362	0.45989	0.45989
antq_grain_products	5.02679	Antiochia ad Orontem	534	0.37152	0.37152
antq_grain_products	5.02679	Judaea–Samaria–Idumaea Plain	587.08328	0.13662	0.13662
antq_grain_products	5.02679	Demašq	604.7949	0.70031	0.70031
antq_grain_products	5.02679	Emerita Augusta	620.13348	0.68591	0.68591
antq_grain_products	5.02679	Beroea of Syria	638.23972	1.02292	1.02292
antq_grain_products	5.02679	Arbela	2945.571	0.75378	0.75378
antq_grain_products	5.02679	Marakanda	4979.546	0.73676	0.73676
fruit	4.62477	Massilia	135	3.24136	3.24136
fruit	4.62477	Hadrumetum	164	0.58707	0.58707
fruit	4.62477	Nemausus	165	0.25851	0.25851
fruit	4.62477	Narbo Martius	178	2.7764	2.7764
fruit	4.62477	Tacape	215	15.86458	15.86458
fruit	4.62477	Tarraco	217	3.19949	3.19949
fruit	4.62477	Mediolanum	219.70292	3.09379	3.09379
fruit	4.62477	Tarentum	222	0.95338	0.95338
fruit	4.62477	Šaršāl	264	14.71949	14.71949
fruit	4.62477	Brundisium	267	5.07347	5.07347
fruit	4.62477	Corinthus	278	0.97708	0.97708
fruit	4.62477	Ravenna	343.31328	0.42227	0.42227
fruit	4.62477	Bononia	376.4316	0.70364	0.70364
fruit	4.62477	Caesaraugusta	402.97464	0.01229	0.01229
fruit	4.62477	Gades	409	9.14685	9.14685
fruit	4.62477	Aquileia	422	10.41747	10.41747
fruit	4.62477	Lugdunum	433.42518	6.51107	6.51107
fruit	4.62477	Alexandria	451	16.03151	16.03151
fruit	4.62477	Byzantion	483	2.41202	2.41202
fruit	4.62477	Corduba	486.42362	2.5887	2.5887
fruit	4.62477	Judaea–Samaria–Idumaea Plain	587.08328	4.45083	4.45083
fruit	4.62477	Demašq	604.7949	4.54745	4.54745
fruit	4.62477	Beroea of Syria	638.23972	0.84036	0.84036
fruit	4.62477	Petra	676.0148	19.4794	19.4794
fruit	4.62477	Bosporan Phanagoria–Sindica	683	4.06087	4.06087
fruit	4.62477	Edessa	806.92392	1.84956	1.84956
fruit	4.62477	Burdigala	811	6.74917	6.74917
fruit	4.62477	Ubii Ara Ubiorum Oak Meadow	1287.41206	23.15479	23.15479
fruit	4.62477	Maya Lowlands	1807.50822	1.64207	1.64207
fruit	4.62477	Arbela	2945.571	2.4455	2.4455
