goods_key	total_supply	total_demand	total_pop_demand	nobles_demand	clergy_demand	burghers_demand	laborers_demand	soldiers_demand	peasants_demand	tribesmen_demand	slaves_demand
antq_amber_ornaments	0	0	0	0	0	0	0	0	0	0	0
antq_barley	3.02975	38.50755	38.50755	0.44073	0.49507	0.26491	3.09905	0.04491	20.8244	13.33848	0
antq_bound_codices	0	0	0	0	0	0	0	0	0	0	0
antq_bronze_wares	1.81445	7.80145	7.80145	1.84568	1.51753	1.07997	0.29576	0.00264	2.53874	0.52113	0
antq_cage_glass	0	0	0	0	0	0	0	0	0	0	0
antq_camels	0.01992	0.16288	0.16288	0.09244	0.02564	0.0448	0	0	0	0	0
antq_carpets	2.15932	22.36747	22.36747	6.05443	3.99229	2.26092	0.75775	0.00702	6.2244	3.07066	0
antq_cheese_curds	9.12584	60.87106	60.87106	2.1059	1.54039	0.73327	3.2226	0.03945	38.32391	14.90554	0
antq_coconut_products	0.46156	10.74618	10.74618	0.40395	0.31021	0.19274	0.74633	0.0092	6.86649	2.21726	0
antq_coconuts	0.47944	12.04821	8.82587	0.21071	0.15919	0.08976	0.62757	0.00774	5.87171	1.85919	0
antq_cordage	98.76062	126.45234	106.76431	4.005	5.37699	5.39908	6.48269	0.05766	67.02976	18.41313	0
antq_cured_meat	8.11673	41.60823	41.22248	1.96952	1.21758	0.67617	2.71947	0.02195	26.15388	8.46391	0
antq_dates	2.75546	39.58022	36.5809	0.68403	0.67609	0.28865	2.02819	0.02202	20.56033	12.32159	0
antq_dried_fruit	0.84995	29.11623	29.11623	1.26121	0.89676	0.4906	1.46871	0.01565	14.6754	10.3079	0
antq_felt_goods	5.19295	21.10012	21.10012	1.0527	1.25373	1.86558	1.9376	0.02509	10.14153	4.82389	0
antq_fine_ceramics	10.08807	30.75018	30.12306	7.89597	4.92997	3.89062	1.04783	0.00838	10.44196	1.90833	0
antq_garnet_cloisonne	0	0	0	0	0	0	0	0	0	0	0
antq_glass_beads	0	0	0	0	0	0	0	0	0	0	0
antq_glasswares	0.3351	6.32072	6.32072	1.67198	1.31147	1.61666	0.22533	0.00284	0.82681	0.66563	0
antq_grain_products	130.12346	360.85879	359.80054	4.52048	5.88469	2.97374	25.29385	0.2511	244.89358	75.9831	0
antq_iron_hardware	81.67828	108.00052	97.38778	9.45428	10.3927	7.90997	5.17123	0.04399	49.86555	14.55006	0
antq_jade	0	0	0	0	0	0	0	0	0	0	0
