sheet,quadrant,key,cohort,style_references,review
named_roman_01.png,top_left,antq_aqua_virgo,named_roman,installed EU5 building icons,accepted
named_roman_01.png,top_right,antq_horrea_publica,named_roman,installed EU5 building icons,accepted
named_roman_01.png,bottom_left,antq_forum_romanum,named_roman,installed EU5 building icons,accepted
named_roman_01.png,bottom_right,antq_forum_augusti,named_roman,installed EU5 building icons,accepted
named_roman_02.png,top_left,antq_basilica_aemilia,named_roman,installed EU5 building icons,accepted
named_roman_02.png,top_right,antq_macellum_romanum,named_roman,installed EU5 building icons,accepted
named_roman_02.png,bottom_left,antq_horrea_galbana,named_roman,installed EU5 building icons,accepted
named_roman_02.png,bottom_right,antq_thermae_agrippae,named_roman,installed EU5 building icons,accepted
named_roman_03.png,top_left,antq_theatrum_marcelli,named_roman,installed EU5 building icons,accepted
named_roman_03.png,top_right,antq_theatrum_balbi,named_roman,installed EU5 building icons,accepted
named_roman_03.png,bottom_left,antq_templum_martis_ultoris,named_roman,installed EU5 building icons,accepted
named_roman_03.png,bottom_right,antq_tabularium,named_roman,installed EU5 building icons,accepted
named_roman_04.png,top_left,antq_circus_maximus,named_roman,installed EU5 building icons,accepted
named_roman_04.png,top_right,antq_monetarium_roma,named_roman,installed EU5 building icons,accepted
named_roman_04.png,bottom_left,antq_navalia_romae,named_roman,installed EU5 building icons,accepted
named_roman_04.png,bottom_right,antq_classis_ravennatis,named_roman,installed EU5 building icons,accepted
named_roman_05.png,top_left,antq_castrum_mogontiacum,named_roman,installed EU5 building icons,accepted
named_roman_05.png,top_right,antq_castrum_novaesium,named_roman,installed EU5 building icons,accepted
named_roman_05.png,bottom_left,antq_castrum_hunnerberg,named_roman,installed EU5 building icons,accepted
named_roman_05.png,bottom_right,antq_castrum_augusta_raurica,named_roman,installed EU5 building icons,accepted
named_roman_06.png,top_left,antq_officinae_urbanae,named_roman,installed EU5 building icons,accepted
named_roman_06.png,top_right,antq_pistrina_urbana,named_roman,installed EU5 building icons,accepted
named_roman_06.png,bottom_left,antq_villa_liviae,named_roman,installed EU5 building icons,accepted
named_roman_06.png,bottom_right,antq_pantheum_agrippae,named_roman,installed EU5 building icons,accepted
named_roman_07.png,top_left,antq_saepta_iulia,named_roman,installed EU5 building icons,accepted
named_roman_07.png,top_right,antq_diribitorium,named_roman,installed EU5 building icons,accepted
named_roman_07.png,bottom_left,antq_templum_apollinis_palatini,named_roman,installed EU5 building icons,accepted
named_roman_07.png,bottom_right,antq_bibliotheca_latina_graecaque,named_roman,installed EU5 building icons,accepted
named_roman_08.png,top_left,antq_curia_iulia,named_roman,installed EU5 building icons,accepted
named_roman_08.png,top_right,antq_porticus_octaviae,named_roman,installed EU5 building icons,accepted
named_roman_08.png,bottom_left,antq_porticus_aemiliae,named_roman,installed EU5 building icons,accepted
named_roman_08.png,bottom_right,antq_aqua_alsietina,named_roman,installed EU5 building icons,accepted
named_roman_09.png,top_left,antq_naumachia_augusti,named_roman,installed EU5 building icons,accepted
named_roman_09.png,top_right,antq_horologium_augusti,named_roman,installed EU5 building icons,accepted
named_roman_09.png,bottom_left,antq_ara_pacis_augustae,named_roman,installed EU5 building icons,accepted
named_roman_09.png,bottom_right,antq_mausoleum_augusti,named_roman,installed EU5 building icons,accepted
named_roman_10.png,top_left,antq_amphitheatrum_statilii_tauri,named_roman,installed EU5 building icons,accepted
named_roman_10.png,top_right,antq_porticus_liviae,named_roman,installed EU5 building icons,accepted
named_roman_10.png,bottom_left,antq_castrum_augusta_vindelicum,named_roman,installed EU5 building icons,accepted
named_roman_10.png,bottom_right,antq_castrum_argentoratum,named_roman,installed EU5 building icons,accepted
named_roman_11.png,top_left,antq_castrum_aliso,named_roman,installed EU5 building icons,accepted
named_roman_11.png,top_right,antq_castrum_bonna,named_roman,installed EU5 building icons,accepted
named_roman_11.png,bottom_left,antq_pons_fabricius,named_roman,installed EU5 building icons,accepted
named_roman_11.png,bottom_right,antq_pons_aemilius,named_roman,installed EU5 building icons,accepted
named_roman_12.png,top_left,antq_fornix_augusti,named_roman,installed EU5 building icons,accepted
named_roman_12.png,top_right,antq_porticus_ad_nationes,named_roman,installed EU5 building icons,accepted
named_roman_12.png,bottom_left,antq_porticus_octavia,named_roman,installed EU5 building icons,accepted
named_roman_12.png,bottom_right,antq_hecatostylum,named_roman,installed EU5 building icons,accepted
named_roman_13.png,top_left,antq_tiber_embankment,named_roman,installed EU5 building icons,accepted
named_roman_13.png,top_right,antq_porticus_post_navalia,named_roman,installed EU5 building icons,accepted
named_roman_13.png,bottom_left,antq_porticus_forum_holitorium,named_roman,installed EU5 building icons,accepted
named_roman_13.png,bottom_right,antq_aedes_portuni,named_roman,installed EU5 building icons,accepted
named_roman_14.png,top_left,antq_regia,named_roman,installed EU5 building icons,accepted
named_roman_14.png,top_right,antq_circus_flaminius,named_roman,installed EU5 building icons,accepted
named_roman_14.png,bottom_left,antq_aedes_vestae,named_roman,installed EU5 building icons,accepted
named_roman_14.png,bottom_right,antq_aedes_saturni,named_roman,installed EU5 building icons,accepted
named_roman_15.png,top_left,antq_miliarium_aureum,named_roman,installed EU5 building icons,accepted
named_roman_15.png,top_right,antq_aedes_penatium,named_roman,installed EU5 building icons,accepted
named_roman_15.png,bottom_left,antq_fornix_fabianus,named_roman,installed EU5 building icons,accepted
named_roman_15.png,bottom_right,antq_ara_saturni,named_roman,installed EU5 building icons,accepted
named_roman_16.png,top_left,antq_rostra_augusti,named_roman,installed EU5 building icons,accepted
named_roman_16.png,top_right,antq_basilica_iulia,named_roman,installed EU5 building icons,accepted
named_roman_16.png,bottom_left,antq_porticus_pompeiana,named_roman,installed EU5 building icons,accepted
