cohort,key,name,master,circle_safe,dark_blue_field,style_pass,opaque_pixels,transparent_pixels,ring_rgb,navy_ring_fraction,sha256,near_duplicate_dhash
named_roman,antq_aqua_virgo,Aqua Virgo,assets_queue/generated/antq_aqua_virgo_128.png,true,true,true,11300,4352,59/56/50,0.427,6a78f56405923e96231f9f28db821d843e28295b410acc592b9bc2ee1abe960b,
named_roman,antq_horrea_publica,Horrea Publica,assets_queue/generated/antq_horrea_publica_128.png,true,true,true,11300,4352,55/53/55,0.568,6436184421f9e4e2c3e2994453bb969d473331f8ac5c4b4f88a1ceeea72f3011,
named_roman,antq_forum_romanum,Forum Romanum,assets_queue/generated/antq_forum_romanum_128.png,true,true,true,11300,4352,55/51/49,0.359,8240d61d94ede2efa353e2a10d82b011cfaae3104d4f81aa90fc40472a0e8cbd,
named_roman,antq_forum_augusti,Forum Augusti,assets_queue/generated/antq_forum_augusti_128.png,true,true,true,11300,4352,56/54/56,0.438,e7e3f09d2387b3f1de9044d3dd7e3ce464b6ce92b1801e5cc7bfce7b87b49695,
named_roman,antq_basilica_aemilia,Basilica Aemilia,assets_queue/generated/antq_basilica_aemilia_128.png,true,true,true,11300,4352,42/49/64,0.755,ab87c36077371fda12dd89af3f22bee7f5804eb48d96e7009b7d76fcb27f8ad8,
named_roman,antq_macellum_romanum,Macellum Romanum,assets_queue/generated/antq_macellum_romanum_128.png,true,true,true,11300,4352,40/46/59,0.734,473f2d93ecdc2dc66184de991cdd547b8f37d90db02dfe5e65e2d8aff8005fd7,
named_roman,antq_horrea_galbana,Horrea Galbana,assets_queue/generated/antq_horrea_galbana_128.png,true,true,true,11300,4352,35/44/58,0.759,4112e09db1e8ee1682885107858f1da07b99b76df7439069596667cc9fbdc40a,
named_roman,antq_thermae_agrippae,Thermae Agrippae,assets_queue/generated/antq_thermae_agrippae_128.png,true,true,true,11300,4352,55/57/66,0.605,5cf12edc91d0a916845cbdc806a0d674c358d3973f81b04742d1853c507aec3b,
named_roman,antq_theatrum_marcelli,Theatrum Marcelli,assets_queue/generated/antq_theatrum_marcelli_128.png,true,true,true,11300,4352,54/57/61,0.542,0a38e7d2d2ea48e1e4221db095bac8997d240ee669a420ff0d0825e64660303c,
named_roman,antq_theatrum_balbi,Theatrum Balbi,assets_queue/generated/antq_theatrum_balbi_128.png,true,true,true,11300,4352,43/48/56,0.685,589f752db215ee5ef1a4f7cb4b677dff3ff4b1b95832f40ceac8d0b8ace3c2f2,
named_roman,antq_templum_martis_ultoris,Templum Martis Ultoris,assets_queue/generated/antq_templum_martis_ultoris_128.png,true,true,true,11300,4352,46/52/61,0.727,5eec9b2838fe1b56fc73d8611a221ba4f80e8c1981a0ebaa6fc8301aa222481c,
named_roman,antq_tabularium,Tabularium,assets_queue/generated/antq_tabularium_128.png,true,true,true,11300,4352,48/51/58,0.667,5266352bb0a0ba728db7fe173c385ba09dab5daee0af333989c8dab64f2c5131,
named_roman,antq_circus_maximus,Circus Maximus,assets_queue/generated/antq_circus_maximus_128.png,true,true,true,11300,4352,29/35/49,0.852,155150508db2dddc8cd76a40fb127e42423dee719d7092a7a9413f210361b489,
named_roman,antq_monetarium_roma,Monetarium Romae,assets_queue/generated/antq_monetarium_roma_128.png,true,true,true,11300,4352,38/43/55,0.795,71631bfa711607f07993e073e77473c269d44f3c27cd9fb5557e08776f5d6e24,
named_roman,antq_navalia_romae,Navalia Romae,assets_queue/generated/antq_navalia_romae_128.png,true,true,true,11300,4352,38/38/46,0.696,e1fff82d5b5002ae43ffd92bec8dccec3715b5e59ed6bccdb9ea05a046d0b7d8,
named_roman,antq_classis_ravennatis,Classis Ravennatis,assets_queue/generated/antq_classis_ravennatis_128.png,true,true,true,11300,4352,32/37/48,0.703,e773f791aaf66c1a16268cf51643ce9229aadd28973ee1e78d1d8c0379e37f3c,
named_roman,antq_castrum_mogontiacum,Castrum Mogontiacum,assets_queue/generated/antq_castrum_mogontiacum_128.png,true,true,true,11300,4352,33/39/43,0.670,9f195bed531f1a42bb8a13fee1e2ee0b01327ab3ac096a09dd4150ee2d0b3547,
named_roman,antq_castrum_novaesium,Castrum Novaesium,assets_queue/generated/antq_castrum_novaesium_128.png,true,true,true,11300,4352,37/42/45,0.684,d88becc05ada3f8288f18e3411d7bbca2983ac9b07e7c03c0528d2bd30b8b711,
named_roman,antq_castrum_hunnerberg,Castrum Hunnerberg,assets_queue/generated/antq_castrum_hunnerberg_128.png,true,true,true,11300,4352,34/42/49,0.668,c9cb5f2193628053bb28b13e760408fd52a3d10490bc337cd3387a2d8d0e5b44,
named_roman,antq_castrum_augusta_raurica,Augusta Raurica Camp,assets_queue/generated/antq_castrum_augusta_raurica_128.png,true,true,true,11300,4352,36/43/50,0.702,8bb4b066b229b6776e4dfa28f55db0c9ffafed8dc1f18047f95ecf8a6eb41812,
named_roman,antq_officinae_urbanae,Officinae Urbanae,assets_queue/generated/antq_officinae_urbanae_128.png,true,true,true,11300,4352,25/26/34,0.478,3c1fd7c83c66fc1c5a6821a7fa9f0a60d7c9c2486cf73d3a1f4f0c1918a347b2,
named_roman,antq_pistrina_urbana,Pistrina Urbana,assets_queue/generated/antq_pistrina_urbana_128.png,true,true,true,11300,4352,34/33/37,0.405,326e1b999a3bf23e8df0cf3ceb51e51021a7cfb0c8628997bde80b0a868e7f28,
named_roman,antq_villa_liviae,Villa Liviae,assets_queue/generated/antq_villa_liviae_128.png,true,true,true,11300,4352,32/28/33,0.443,5d2ea7e9bdf275469bb46a116573c81c4ceb14448397b81c097b716f30f0d46a,
named_roman,antq_pantheum_agrippae,Pantheum Agrippae,assets_queue/generated/antq_pantheum_agrippae_128.png,true,true,true,11300,4352,31/31/37,0.472,5332f77ad69a89e28c63433373e688be836f1234fa43e696ead6c064cdd32f4f,
named_roman,antq_saepta_iulia,Saepta Iulia,assets_queue/generated/antq_saepta_iulia_128.png,true,true,true,11300,4352,27/35/50,0.883,104f6405463bc653706489bdbfd770c9490ae92e15c128c2b4d15af2aa09daef,
named_roman,antq_diribitorium,Diribitorium,assets_queue/generated/antq_diribitorium_128.png,true,true,true,11300,4352,36/42/55,0.796,60fdd0dbc3926c87638b8d07a0336857ca07f8c67884fb401d23cbf2cf2ad05b,
named_roman,antq_templum_apollinis_palatini,Templum Apollinis in Palatio,assets_queue/generated/antq_templum_apollinis_palatini_128.png,true,true,true,11300,4352,26/35/51,0.905,91231e9e2599d68a9fd639bbe3b56b62ca84a103888ecfd7c354942e27717956,
named_roman,antq_bibliotheca_latina_graecaque,Bibliotheca Latina Graecaque,assets_queue/generated/antq_bibliotheca_latina_graecaque_128.png,true,true,true,11300,4352,41/48/59,0.770,f62e2e55964c9d575fe8598e7578c2823b73aa7427c70cef8791d5067596f1a3,
named_roman,antq_curia_iulia,Curia Iulia,assets_queue/generated/antq_curia_iulia_128.png,true,true,true,11300,4352,15/26/44,1.000,bbb4c07f8836be737c2e0c47a54dec41616af5408778fcc422db0dea1c90b895,
named_roman,antq_porticus_octaviae,Porticus Octaviae,assets_queue/generated/antq_porticus_octaviae_128.png,true,true,true,11300,4352,26/34/50,0.891,566f20247aab89a2c3abf15a59f9aeb61e7ee9845c2d07a246228129b795f553,
named_roman,antq_porticus_aemiliae,Porticus Aemilia (Emporium),assets_queue/generated/antq_porticus_aemiliae_128.png,true,true,true,11300,4352,24/33/49,0.890,304dab6056300ecc02b847b1ee7b871a3e0952a8a46c6ab8744a9d4f41141f57,
named_roman,antq_aqua_alsietina,Aqua Alsietina,assets_queue/generated/antq_aqua_alsietina_128.png,true,true,true,11300,4352,17/28/46,0.978,e1bead4840133fcff9012fa7a145a12e5386faab1365d6f6c1339165942a2a0a,
named_roman,antq_naumachia_augusti,Naumachia Augusti,assets_queue/generated/antq_naumachia_augusti_128.png,true,true,true,11300,4352,29/38/54,0.948,73aae9aae98368cec975b85091b94373651c68df8e0959d80ae28d63a82d392b,
named_roman,antq_horologium_augusti,Horologium Augusti,assets_queue/generated/antq_horologium_augusti_128.png,true,true,true,11300,4352,32/39/53,0.901,ca13dc0d49b46fec1ca23673ed06c1a6d4c2715a1c5f2e343222e2a2bbc4939d,
named_roman,antq_ara_pacis_augustae,Ara Pacis Augustae,assets_queue/generated/antq_ara_pacis_augustae_128.png,true,true,true,11300,4352,26/35/53,0.980,d13e1069c751615625e0109bbef24b7692a7d882ce3f520052ab03ec020775d0,
named_roman,antq_mausoleum_augusti,Mausoleum Augusti,assets_queue/generated/antq_mausoleum_augusti_128.png,true,true,true,11300,4352,27/36/53,0.976,12a37a1d644110c906117358756a8315f87df42f059357dd19dc90cb79515db7,
named_roman,antq_amphitheatrum_statilii_tauri,Amphitheatrum Statilii Tauri,assets_queue/generated/antq_amphitheatrum_statilii_tauri_128.png,true,true,true,11300,4352,20/30/50,0.991,62a22373127c63eb03d817d46a927e92e7ff1dfdfef88ed16983b3f94a28bbb9,
named_roman,antq_porticus_liviae,Porticus Liviae,assets_queue/generated/antq_porticus_liviae_128.png,true,true,true,11300,4352,27/35/53,0.918,5d1a3fc2ac57b9055dae51d847aaefdc0dedc090fbf090aedac269189a43d4e2,
named_roman,antq_castrum_augusta_vindelicum,Castrum Augusta Vindelicum,assets_queue/generated/antq_castrum_augusta_vindelicum_128.png,true,true,true,11300,4352,22/31/49,0.935,a110204c272045b52d9f689fac762152a1a0d11ea48f08bf19a58782f8e19a40,
