"granularity","key","parent","kind","ad1_name","language","method","source","confidence","note","unchanged_verified"
"area","irrawady_delta_area","indochina_region","land","Lower Irrawaddy Pyu Littoral","Pyu ethnonym / local hydronym / English","people-river-landform construction","GEO-PROXY;https://whc.unesco.org/en/list/1444","medium","Pyu settlement was established in the Irrawaddy basin by the campaign boundary; Lower and Littoral distinguish this delta and Tenasserim footprint from the inland Pyu sibling without projecting a later Mon kingdom.","false"
"area","jaguaribe_area","brazil_region","land","Jaguaribe–Capibaribe Drylands","indigenous hydronyms / English","paired river-and-ecology construction","GEO-PROXY;https://www.britannica.com/place/Ceara-state-Brazil","medium","The two indigenous river names bracket the northeastern Brazilian dryland footprint without importing a colonial captaincy or modern state identity.","false"
"area","james_bay_lowlands_area","canada_region","land","Môsonîy Muskeg","Cree / English","indigenous geographic construction","GEO-PROXY;https://parks.canada.ca/amnc-nmca/cnamnc-cnnmca/jamesest-easternjames","medium","Môsonîy is the Cree country around the southern bay and Muskeg describes its lowland ecology; the royal eponym James is removed without inventing an AD 1 polity.","false"
"area","jamesie_area","canada_region","land","Eeyou Istchee Interior","Cree / English","indigenous territorial name plus qualifier","GEO-PROXY;https://parks.canada.ca/amnc-nmca/cnamnc-cnnmca/jamesest-easternjames","medium","Eeyou Istchee supplies the local territorial frame and Interior distinguishes the Abitibi–Mistassini shield from the bay lowlands; no modern administrative Jamésie identity remains.","false"
"area","japan_coastline","japan_region","marine","Seas of Wa","Han Chinese ethnonym / English","attested people-maritime construction","ISIJ-YAY;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","Han sources place the many Wa communities across the sea east of Lelang, making Seas of Wa an era-appropriate collective label for the Japanese coastal waters.","false"
"area","java_area","indonesia_region","land","Iabadiou","Ancient Greek","attested classical island name","GEO-PROXY;https://toyo-bunko.repo.nii.ac.jp/record/3111/files/Memoirs74_01_OHJI.pdf","medium","Ptolemy's Iabadiou is the earliest classical geographic form conventionally associated with Java; it is used as an island label rather than proof of one polity.","false"
"area","jazira_area","crescent_region","land","Osrhoene, Mygdonia and Adiabene","Greek / Latin","attested regional composite","GEO-PROXY;https://www.iranicaonline.org/articles/adiabene","high","The three contemporary districts span Edessa, Nisibis and the upper Tigris–Mosul country represented by the installed footprint, replacing the later Arabic al-Jazira umbrella.","false"
"area","jharkhand_area","bengal_region","land","Chotanagpur Megalithic Uplands","archaeological English","archaeological-horizon and landform construction","GEO-PROXY;https://www.antiquity.ac.uk/projgall/mendaly352","medium","Megalithic mortuary traditions and the Chotanagpur plateau provide a bounded archaeological-geographic frame around AD 1 without backdating a medieval Jharkhand identity.","false"
"area","jiangnan_area","east_china_region","land","Danyang and Wu Commanderies","Han Chinese","attested administrative composite","BHR;CHG;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","Danyang and Wu are the Han commandery frames covering the lower Yangtze, Nanjing and Suzhou footprint at the campaign boundary.","false"
"area","jiangxi_area","east_china_region","land","Yuzhang Commandery","Han Chinese","attested administrative name","BHR;CHG;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","Han Yuzhang Commandery closely matches the Jiangxi basin footprint and replaces the much later provincial label.","false"
"area","jolof_area","guinea_region","land","Senegal–Saloum Littoral","local hydronyms / English","paired river-maritime construction","GEO-PROXY;MET-IRON;https://www.britannica.com/place/Senegal-River","medium","The Senegal and Saloum river systems define the Senegambian coastal footprint around AD 1 without backdating the Jolof state or its political borders.","false"
"area","juan_fernandez_area","andes_region","land","Aconcagua Outer Isles","indigenous geographic name / English","nearest-landmark directional construction","GEO-PROXY;https://www.britannica.com/place/Juan-Fernandez-Islands","medium","The uninhabited offshore islands receive a neutral name from the nearest major mainland valley rather than retaining the sixteenth-century Spanish discoverer's eponym.","false"
"area","kachin_area","indochina_region","land","Upper Irrawaddy–Patkai Lands","local hydronym / geographic name / English","river-and-range construction","GEO-PROXY;https://whc.unesco.org/en/list/1444","medium","The upper Irrawaddy corridors and Patkai approaches accurately bound the diverse hill communities without projecting the later Kachin ethnopolitical label backward.","false"
"area","kalahari_area","southern_africa_region","land","Molopo–Nossob Drylands","local hydronyms / English","paired river-and-ecology construction","GEO-PROXY;https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/new-look-at-the-later-prehistory-of-the-kalahari/8B19240305EC8170BD42F7C7BC625911","medium","The Molopo and Nossob basins anchor the hunter-forager dryland footprint while avoiding a timeless projection of any modern San ethnonym.","false"
"area","kamchatka_area","east_siberia_region","land","Itelmen Peninsula","Itelmen ethnonym / English","indigenous people-geography construction","GEO-PROXY;https://www.britannica.com/place/Kamchatka-Peninsula-Russia","medium","Itelmen provides the enduring indigenous frame for the peninsula's riverine and coastal communities; it replaces the Russian geographic form without claiming one state.","false"
"area","kanaky_area","melanesia_region","land","Naia–Podtanéan Isles","archaeological French / English","archaeological-horizon composite","GEO-PROXY;https://pacificarchaeology.org/index.php/journal/article/view/46","medium","Post-Lapita Naia and Podtanéan ceramic traditions provide the appropriate turn-of-era frame for Grande Terre and its neighboring islands.","false"
"area","kanaky_sea_zones_area","melanesia_region","marine","Naia Archipelago Waters","archaeological name / English","archaeological-maritime construction","GEO-PROXY;https://pacificarchaeology.org/index.php/journal/article/view/46","medium","The maritime counterpart uses the contemporary Naia archaeological horizon rather than the later colonial New Caledonia or modern political Kanaky label.","false"
