granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
province,ponthieu_province,picardy_area,land,Ambiani–Morini Channel Coast,Latinized Gallic ethnonyms / English,paired-people coastal construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-GAL;PLN-GAL,high,The Somme and Channel coast crossed the neighboring Ambiani and Morini territories.,false
province,porossia_province,right_bank_ukraine_area,land,Ros–Dnieper Zarubintsy Lands,local hydronyms / archaeological culture,paired-river archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;RAS-ZAR,high,The Ros tributary occupied the southern edge of the Middle Dnieper Zarubintsy horizon.,false
province,potano_province,florida_area,land,Alachua–Suwannee Deptford Lands,local place and river names / archaeological culture,paired-landmark archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/topic/Woodland-cultures,medium,The inland Alachua and Suwannee zone is framed by Deptford-period woodland societies before later Potano identity.,false
province,pothwar_province,punjab_area,land,Takṣaśilā–Salt-Range Gandhāra,Sanskrit civic name / English range name / ancient region,center-landmark regional construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;IRAN-GANDHARA,high,Takṣaśilā and the Salt Range anchored the eastern Gandhāran plateau.,false
province,potomac_province,maryland_area,land,Potomac–Monocacy Mockley Lands,Algonquian hydronyms / archaeological phase,paired-river archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.nps.gov/gewa/learn/historyculture/upload/GEWA-HRS-2023-508-2.pdf,medium,The Potomac and Monocacy valleys belonged to the wider Mockley interaction horizon.,false
province,powhatan_province,virginia_area,land,Pamunkey–Appomattox Woodland Lands,Algonquian hydronyms / archaeological period,paired-river archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.nps.gov/articles/000/initial-woodland.htm,medium,The two river systems frame Woodland-period settlements without backdating the Powhatan confederacy.,false
province,powys_province,wales_area,land,Upper Sabrina–Ordovices Lands,Latin hydronym and ethnonym,river-people construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4,high,The upper Severn or Sabrina basin lay within the southern reach of the Ordovices.,false
province,poyiitahtai_province,upper_missouri_area,land,Milk–Upper Missouri Prairie Woodlands,local hydronyms / archaeological period,paired-river archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.nps.gov/parkhistory/online_books/mwro/archeological_plan.pdf,medium,The Milk and Missouri corridors frame the northern prairie woodland transition.,false
province,poyul_province,kham_area,land,Pome–Upper Brahmaputra Qiangic Lands,Tibetan place and river names / linguistic adjective,center-river regional construction,installed:in_game/map_data/definitions.txt;CAM-TIB-ARCH;CAM-EAST-TIB,medium,Pome and the eastern Brahmaputra gorges define a Qiangic plateau frontier.,false
province,poznan_province,greater_poland_area,land,Warta–Obra Przeworsk Lands,local hydronyms / archaeological culture,paired-river archaeological construction,installed:in_game/map_data/definitions.txt;UW-PRZ;GEO-PROXY,high,The Warta and Obra basins formed the western core of the Przeworsk horizon.,false
province,pozsony_province,slovakia_area,land,Carnuntum–Nitra Quadi March,Latin civic name / local river and ancient ethnonym,center-river people construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-GER;STR-BAL,high,Carnuntum and the Nitra corridor marked the Roman-facing edge of the Quadi sphere.,false
province,prachensko_province,bohemia_area,land,Otava–Vltava Marcomannian Lands,local hydronyms / Latin ethnonym,paired-river people construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-GER;TAC-GER,high,The Otava and upper Vltava valleys occupied southwestern Marcomannia.,false
province,prague_province,bohemia_area,land,Vltava–Elbe Marcomannian Heartland,local hydronyms / Latin ethnonym,paired-river people construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-GER;TAC-GER,high,The Vltava-Elbe confluence region lay near the center of Maroboduus's Marcomannian realm.,false
province,preslav_province,bulgaria_area,land,Odessos–Marcianopolis Moesian Coast,Greek-Roman civic names / provincial adjective,paired-center regional construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-BAL;PLE,high,Odessos and Marcianopolis anchored the eastern Moesian coastal interior.,false
province,prey_nokor_province,lower_mekong_area,land,Mekong–Bassac Iron-Age Delta,local river names / archaeological period,paired-river archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.metmuseum.org/toah/hd/funa/hd_funa.htm,medium,The lower Mekong and Bassac distributaries supported iron-age settlements before later Prey Nokor.,false
province,prieska_province,karoo_area,land,Gariep–Kheis Hunter-Herder Lands,local hydronym and place name / English,river-landmark subsistence construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;OUP-SOUTH-AFRICA,medium,The middle Gariep corridor is framed by varied hunter-herder lifeways around AD 1.,false
province,prignitz_province,brandenburg_area,land,Havel–Elbe Semnonian Lands,local hydronyms / Latin ethnonym,paired-river people construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-GER;TAC-GER,high,The lower Havel and Elbe plains formed the northwestern reach of the Semnonian sphere.,false
province,prilep_province,macedonia_area,land,Lychnidos–Herakleia Macedonian Highlands,Greek civic names / regional adjective,paired-center upland construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-BAL;PLE,high,Lychnidos and Herakleia Lynkestis anchored the western Macedonian lake and upland corridor.,false
province,prince_edward_island_sea_zones_province,canadian_atlantic_coast_area,marine,Abegweit–Pictou Maritime Waters,Mi'kmaq island and bay names / English,paired-coastal-feature construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.pc.gc.ca/apps/dfhd/page_nhs_eng.aspx?id=173,medium,Mi'kmaq-derived anchors replace Prince Edward and Northumberland colonial names.,false
province,principato_citra_province,campania_area,land,Salernum–Picentia Campania,Latin civic and regional names,paired-center regional construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;PLE;CAH-XI,high,Salernum and Picentia anchored the southern Campanian coast before the medieval principality.,false
province,principato_ultra_province,campania_area,land,Beneventum–Abellinum Hirpini Lands,Latin civic names / ancient ethnonym,paired-center people construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;PLE;CAH-XI,high,Beneventum and Abellinum anchored the former Hirpinian interior under Rome.,false
province,privolnoye_province,majar_area,land,Upper Kuban Siraces–Aorsi Steppe,local hydronym / Latinized ethnonyms,river-people construction,installed:in_game/map_data/definitions.txt;WIL-SAR;GEO-PROXY,high,The upper Kuban steppe lay across the interacting Siraces and Aorsi spheres.,false
province,priyutnoye_province,astrakhan_area,land,Manych–Lower Volga Aorsi Steppe,local hydronyms / Latinized ethnonym,paired-river people construction,installed:in_game/map_data/definitions.txt;WIL-SAR;GEO-PROXY,high,The Manych corridor linked the lower Volga with the western Aorsi steppe.,false
province,pronsk_province,ryazan_area,land,Pronya–Oka Gorodets Lands,local hydronyms / archaeological culture,paired-river archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://old.bigenc.ru/archeology/text/2371519,high,The Pronya tributary places this tract within the upper Oka Gorodets horizon.,false
