"granularity","key","parent","kind","ad1_name","language","method","source","confidence","note","unchanged_verified"
"province","umhlanga_province","umgungundlovu_area","land","Thukela–Umgeni Hunter-Herder Lands","local hydronyms / archaeological English","paired-river subsistence construction","GEO-PROXY;OUP-SOUTH-AFRICA","medium","The coastal riverlands supported hunter and early herder lifeways before later Nguni polities.","false"
"province","umluj_province","hedjaz_area","land","Nabataean Leuke-Kome–Al-Hawra Coast","ancient polity and port names / English","polity-paired-port construction","GEO-PROXY;PER;NABATAEA-MAP","high","The Nabataean Red Sea ports anchor this coast around AD 1.","false"
"province","umngazi_province","umgungundlovu_area","land","Mzimvubu–Umngazi Hunter-Herder Lands","local hydronyms / archaeological English","paired-river subsistence construction","GEO-PROXY;OUP-SOUTH-AFRICA","medium","The two river basins frame pre-state hunter and herder landscapes.","false"
"province","umsobomvu_province","thaba_bosiu_area","land","Gariep–Caledon Hunter-Herder Lands","local hydronyms / archaeological English","paired-river subsistence construction","GEO-PROXY;OUP-SOUTH-AFRICA","medium","The highveld river corridor predates later Sotho-Tswana states.","false"
"province","una_sana_province","bosnia_area","land","Iapodes Una–Sana Lands","Latinized Illyrian ethnonym / local hydronyms / English","attested people-paired-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+7.5&fromdoc=Perseus%3Atext%3A1999.01.0198","high","The Iapodes occupied the Una–Sana frontier around AD 1.","false"
"province","unalaska_coast_sea_zones_province","alaska_sea_zones_area","marine","Aleutian Unimak–Sanak Waters","archipelago and local island names / English","paired-island maritime construction","GEO-PROXY;https://www.nps.gov/articles/iyatayet.htm","medium","Ancient Aleutian maritime communities used these peninsula waters.","false"
"province","unalaska_province","western_arctic_area","land","Aleutian Unimak–Chignik Lands","archipelago and local geographic names / English","paired-landmark construction","GEO-PROXY;https://www.nps.gov/articles/iyatayet.htm","medium","The peninsula and island corridor held ancient maritime communities.","false"
"province","unaligmiut_province","western_arctic_area","land","Unaliq Unalakleet–Kwiguk Lands","archaeological name / indigenous hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://www.nps.gov/articles/iyatayet.htm","medium","Norton-related communities occupied the western Alaskan coast around AD 1.","false"
"province","unamakik_province","acadia_area","land","Maritime-Woodland Bras-d'Or–Mira","archaeological English / indigenous geographic names","horizon-paired-water construction","GEO-PROXY;https://www.pc.gc.ca/apps/dfhd/page_nhs_eng.aspx?id=1817","medium","Maritime Woodland communities occupied Cape Breton before historic district geography.","false"
"province","unazigmit_coast_sea_province","yakutsk_sea_area","marine","Kresta–Khatyrka Unangan Waters","local gulf and river names / English","paired-landmark maritime construction","GEO-PROXY;https://www.britannica.com/place/Bering-Sea","medium","Local landmarks frame ancient coastal hunter waters.","false"
"province","ungunniavik_province","nunavik_area","land","Dorset Ungava–Whale Lowlands","archaeological English / indigenous geographic names","horizon-paired-landmark construction","GEO-PROXY;https://www.thecanadianencyclopedia.ca/en/article/dorset-culture","high","Dorset communities occupied the Ungava coast around AD 1.","false"
"province","unter_dem_manhartsberg_province","austria_area","land","Marcomanni–Quadi Thaya–Morava Lands","Latinized ethnonyms / local hydronyms / English","attested peoples-paired-river construction","GEO-PROXY;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","The region lay between Marcomannic and Quadian spheres.","false"
"province","unter_dem_wienerwald_province","austria_area","land","Carnuntum–Vindobona Pannonia","Latin place-names and provincial name","attested paired-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+7.5&fromdoc=Perseus%3Atext%3A1999.01.0198","high","The Danube corridor belonged to early Roman Pannonia.","false"
"province","unterinntal_province","tirol_area","land","Raetian Inn–Ziller Valleys","Latin ethnonym / local hydronyms / English","attested people-paired-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.6&fromdoc=Perseus%3Atext%3A1999.01.0239","high","Raetian valleys along the lower Inn were under Roman rule.","false"
"province","untermain_province","hesse_area","land","Vangiones–Mattiaci Main–Rhenus Lands","Latinized ethnonyms and hydronyms / English","attested peoples-paired-river construction","GEO-PROXY;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","The lower Main lay between Vangiones and Mattiaci.","false"
"province","unzha_province","nizhny_novgorod_area","land","Gorodets Unzha–Vetluga Lands","archaeological name / local hydronyms / English","horizon-paired-river construction","GEO-PROXY;ENC-NEEU","high","Late Gorodets communities occupied these Volga forests.","false"
"province","upper_alsace_province","alsace_area","land","Rauraci–Sequani Upper-Rhine Lands","Latinized Gallic ethnonyms / local hydronym / English","attested peoples-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.3&fromdoc=Perseus%3Atext%3A1999.01.0239","high","The upper Rhine lay between Rauraci and Sequani.","false"
"province","upper_amga_province","amga_area","land","Aldan–Amga Hunting Lands","local hydronyms / English","paired-river subsistence construction","GEO-PROXY;https://www.britannica.com/place/Aldan-River","medium","The river corridor frames sparse ancient hunter communities.","false"
"province","upper_araguaia_province","tocantins_area","land","Araguaia–Mortes Ceramic Lands","indigenous hydronyms / archaeological English","paired-river horizon construction","GEO-PROXY;SA-EXPANSIONS","medium","Early ceramic and horticultural communities occupied the upper basin.","false"
"province","upper_argun_province","argun_area","land","Xianbei Argun–Hailar Lands","Han Chinese ethnonym / local hydronyms / English","attested people-paired-river construction","GEO-PROXY;HAN-WR","medium","The forest-steppe belonged to the wider Xianbei sphere.","false"
"province","upper_artois_province","picardy_area","land","Atrebates and Nemetacum","Latinized Gallic ethnonym / Latin place-name","attested people-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.3&fromdoc=Perseus%3Atext%3A1999.01.0239","high","Nemetacum was the Roman center of the Atrebates.","false"
"province","upper_auvergne_province","auvergne_area","land","Arverni Upper-Dordogne Lands","Latinized Gallic ethnonym / local hydronym / English","attested people-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.2&fromdoc=Perseus%3Atext%3A1999.01.0239","high","The uplands belonged to the Arverni.","false"
"province","upper_barito_province","south_borneo_area","land","Barito Metal-Age Riverlands","local hydronym / archaeological English","river-horizon construction","GEO-PROXY;https://www.britannica.com/place/Borneo/History","medium","Metal Age Austronesian communities occupied the upper river.","false"
"province","upper_berry_province","orleanais_area","land","Bituriges-Cubi Avaricum–Liger Lands","Latinized ethnonym / Latin center and river names","attested people-center-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.2&fromdoc=Perseus%3Atext%3A1999.01.0239","high","Avaricum anchored the Bituriges Cubi on the Loire.","false"
"province","upper_brunei_province","north_borneo_area","land","Limbang–Padas Metal-Age Lands","local hydronyms / archaeological English","paired-river horizon construction","GEO-PROXY;https://www.britannica.com/place/Borneo/History","medium","Riverine Metal Age communities predate Brunei statehood.","false"
"province","upper_bundelkhand_province","gondwana_area","land","Chedi–Vatsa Vindhyan Lands","ancient polity names / local range name / English","paired-polity landform construction","GEO-PROXY;https://www.britannica.com/place/Bundelkhand","medium","The Vindhyan uplands lay between Chedi and Vatsa spheres.","false"
"province","upper_bureya_province","middle_amur_area","land","Bureya–Amur Woodlands","local hydronyms / English","paired-river ecology construction","GEO-PROXY;https://www.britannica.com/place/Amur-River","medium","The forest corridor frames ancient Tungusic-related communities.","false"
"province","upper_butana_province","butana_area","land","Meroitic Butana–Atbara Lands","ancient polity name / local region and hydronym / English","polity-paired-landmark construction","GEO-PROXY;https://www.britannica.com/place/Kush-ancient-region-Africa","high","The Butana and Atbara belonged to Meroitic Kush.","false"
"province","upper_cagayan_province","luzon_area","land","Cagayan Valley Lands","local hydronym / archaeological English","river-horizon construction","GEO-PROXY;https://www.metmuseum.org/toah/hd/phil/hd_phil.htm","medium","Iron Age river communities predate later provincial identities.","false"
"province","upper_carinthia_province","carinthia_area","land","Noricum Teurnia–Aguntum Lands","Latin provincial and place-names","attested paired-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+7.5&fromdoc=Perseus%3Atext%3A1999.01.0198","high","Teurnia and Aguntum anchored western Noricum.","false"
"province","upper_carniola_province","slovenia_area","land","Taurisci Emona–Savus Lands","Latinized Celtic ethnonym / Latin center and river names","attested people-center-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+7.5&fromdoc=Perseus%3Atext%3A1999.01.0198","high","Emona and the Savus valley lay among the Taurisci.","false"
"province","upper_doab_province","doab_area","land","Kuru Upper-Yamuna–Ganges Lands","ancient polity name / local hydronyms / English","polity-paired-river construction","GEO-PROXY;https://www.britannica.com/topic/Kuru-people","medium","The upper doab retained the ancient Kuru geographic frame.","false"
"province","upper_emba_province","desht_kipchak_area","land","Kangju Emba–Temir Pastures","ancient polity name / local hydronyms / English","polity-paired-river pastoral construction","GEO-PROXY;HAN-WR","high","The steppe rivers lay in the wider Kangju sphere.","false"
"province","upper_gafana_province","tana_area","land","Kilimanjaro–Taita Pastoral Lands","local mountain and geographic names / archaeological English","paired-landmark subsistence construction","GEO-PROXY;QI-EAFRICA","medium","Pastoral communities occupied the upland corridor around AD 1.","false"
"province","upper_gezira_province","butana_area","land","Meroitic Rahad–Dinder Lands","ancient polity name / local hydronyms","polity-paired-river construction","GEO-PROXY;https://www.britannica.com/place/Kush-ancient-region-Africa","high","The Rahad and Dinder corridor belonged to the southern Meroitic sphere.","false"
"province","upper_ghaghara_province","nepal_area","land","Khasa Karnali–Sinja Highlands","ancient ethnonym / local hydronym and valley name / English","people-paired-landmark construction","GEO-PROXY;https://www.britannica.com/place/Nepal/History","medium","Khasa-related Himalayan communities frame the Karnali uplands.","false"
"province","upper_guapore_province","guapore_area","land","Guaporé–Jiparaná Ceramic Lands","indigenous hydronyms / archaeological English","paired-river horizon construction","GEO-PROXY;JWP-ORINOCO","medium","Early ceramic and horticultural communities occupied the watershed.","false"
"province","upper_guinea_coastline","west_africa_coastline","marine","Geba–Nunez Waters","local hydronyms / archaeological English","paired-river horizon maritime construction","GEO-PROXY;MET-IRON","medium","The river mouths frame early ironworking coastal networks.","false"
"province","upper_igombe_province","igombe_area","land","Urewe Igombe–Malagarasi Lands","archaeological name / local hydronyms / English","horizon-paired-river construction","GEO-PROXY;QI-EAFRICA","medium","Urewe-related farming communities occupied western Tanzania.","false"
"province","upper_jambi_province","south_sumatra_area","land","Malayu Batanghari–Tebo Riverlands","ancient regional name / local hydronyms / English","region-paired-river construction","GEO-PROXY;https://www.britannica.com/place/Sumatra/History","medium","Metal Age river networks predate later Malayu kingdoms.","false"
"province","upper_kagera_province","victoria_area","land","Urewe Kagera–Kivu Lands","archaeological name / local hydronym and lake name / English","horizon-paired-water construction","GEO-PROXY;QI-EAFRICA","high","Urewe farming and ironworking spread through the Kagera–Kivu corridor.","false"
"province","upper_kapuas_province","north_borneo_area","land","Kapuas–Sentarum Metal-Age Lands","local hydronym and lake name / archaeological English","paired-water horizon construction","GEO-PROXY;https://www.britannica.com/place/Borneo/History","medium","Metal Age riverine communities occupied the upper Kapuas.","false"
"province","upper_kolyma_province","okhotsk_coast_area","land","Kolyma–Bakhapcha Hunting Lands","local hydronyms / English","paired-river subsistence construction","GEO-PROXY;https://www.britannica.com/place/Kolyma-River","medium","The highland rivers frame ancient hunter communities.","false"
"province","upper_kosi_province","nepal_area","land","Kirata Kosi–Sun-Kosi Highlands","ancient ethnonym / local hydronyms / English","people-paired-river construction","GEO-PROXY;https://www.britannica.com/place/Nepal/History","medium","Kirata-related communities occupied the eastern Himalayan valleys.","false"
"province","upper_lena_province","middle_lena_area","land","Lena–Olekma Hunting Lands","local hydronyms / English","paired-river subsistence construction","GEO-PROXY;https://www.britannica.com/place/Lena-River","medium","The forest corridor frames ancient hunting communities.","false"
"province","upper_lurio_province","ruvuma_lurio_area","land","Azanian Lurio–Chilwa Lands","Ancient Greek regional name / local river and lake names / English","region-paired-water construction","GEO-PROXY;PER","medium","The corridor belonged to the hinterland of the Azanian coast.","false"
"province","upper_macedonia_province","macedonia_area","land","Orestis–Elimeia Upper-Macedonia","Ancient Greek regional names","attested paired-region construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+7.7&fromdoc=Perseus%3Atext%3A1999.01.0198","high","Orestis and Elimeia comprised upper Macedonian districts.","false"
"province","upper_mahakam_province","north_borneo_area","land","Mahakam–Telen Metal-Age Lands","local hydronyms / archaeological English","paired-river horizon construction","GEO-PROXY;https://www.britannica.com/place/Borneo/History","medium","Metal Age river communities predate later polities.","false"
"province","upper_maine_province","anjou_area","land","Aulerci-Cenomani and Vindinum","Latinized Gallic ethnonym / Latin place-name","attested people-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.3&fromdoc=Perseus%3Atext%3A1999.01.0239","high","Vindinum was the center of the Aulerci Cenomani.","false"
"province","upper_malawi_province","malawi_area","land","Malawi–Ruhuhu Hunter-Farmer Frontier","local lake and river names / archaeological English","paired-water subsistence-frontier construction","GEO-PROXY;JAH-BANTU-MOBILITY","medium","The northern lake corridor was a changing food-production frontier.","false"
"province","upper_marathwada","maharashtra_area","land","Pratishthana–Tagara Satavahana Uplands","Prakrit place-names / dynastic name","attested centers plus regional construction","GEO-PROXY;PER","high","Pratishthana and Tagara anchored the Satavahana Deccan.","false"
"province","upper_mazowe_province","zambezi_area","land","Mazowe–Manyame Hunter-Farmer Frontier","local hydronyms / archaeological English","paired-water subsistence-frontier construction","GEO-PROXY;OUP-SOUTH-AFRICA","medium","Early farming and foraging communities occupied the plateau river basins.","false"
"province","upper_moshiko_province","moshiko_area","land","Lualaba–Lufira Lands","local hydronyms / archaeological English","paired-water archaeological-horizon construction","GEO-PROXY;JAH-BANTU-MOBILITY","medium","The copperbelt drainage formed an early iron-working frontier.","false"
"province","upper_musi_province","south_sumatra_area","land","Musi–Lakitan Metal-Age Lands","local hydronyms / archaeological English","paired-river archaeological-horizon construction","GEO-PROXY;PER","medium","Metal Age river communities preceded historic Sumatran states.","false"
