"granularity","key","parent","kind","ad1_name","language","method","source","confidence","note","unchanged_verified"
"province","novogrudok_province","black_ruthenia_area","land","Zarubintsy Neman–Pripyat Uplands","archaeological name / local hydronyms / English","horizon-paired-river construction","GEO-PROXY;RAS-ZAR","high","The Neman–Pripyat watershed lay within the broader Zarubintsy horizon around AD 1 before medieval Navahrudak.","false"
"province","novosil_province","oka_area","land","Upper-Oka Forest-Zone Settlements","local hydronym / archaeological English","river-ecozone settlement construction","GEO-PROXY;ENC-NEEU","medium","Turn-of-era forest-zone settlements along the upper Oka replace the medieval Novosil principality and Russian town names.","false"
"province","novosyolovo_province","kansk_area","land","Tashtyk Chulym–Yenisei Lands","archaeological name / local hydronyms / English","horizon-paired-river construction","GEO-PROXY;FU-TASHTYK","high","Early Tashtyk communities occupied the western Minusinsk and Chulym–Yenisei corridor around the campaign boundary.","false"
"province","nowy_sacz_province","lesser_poland_area","land","Przeworsk Dunajec–Poprad Lands","archaeological name / local hydronyms / English","horizon-paired-river construction","GEO-PROXY;UW-PRZ","high","Przeworsk communities and exchange routes occupied the Dunajec–Poprad valleys before medieval Sącz.","false"
"province","ntsoana_tsatsi_province","thaba_bosiu_area","land","Vaal–Caledon Hunter-Herder Lands","local hydronyms / archaeological English","paired-river subsistence construction","GEO-PROXY;OUP-SOUTH-AFRICA","medium","The highveld between the Vaal and Caledon supported hunter and emerging herder lifeways long before later Sotho-Tswana states.","false"
"province","nubhor_province","kham_area","land","Qiangic Upper-Salween Valleys","linguistic English / local hydronym","people-river-landform construction","GEO-PROXY;HAN-WR","medium","The Biru and Riwoche footprint receives a broad Qiangic highland frame before later Tibetan provincial geography.","false"
"province","nubia_coast_sea_province","red_sea_area","marine","Blemmyan–Beja Red-Sea Waters","Ancient Greek ethnonym / indigenous ethnonym / English","paired-people maritime construction","GEO-PROXY;PER","high","Blemmyan and ancestral Beja communities occupied the Nubian Red Sea hills and archipelagos around the early Common Era.","false"
"province","nukutavake_province","tuamotu_area","land","Eastern Low Atoll","English","uninhabited directional-landform construction","GEO-PROXY;https://www.britannica.com/place/Tuamotu-Archipelago","medium","Secure settlement of the eastern Tuamotus postdates AD 1 so a neutral physical name replaces the later island name.","false"
"province","numaykoos_province","keewatin_n_area","land","Laurel Missinipi–Reindeer Lake-Lands","archaeological name / indigenous hydronyms / English","horizon-paired-water construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Laurel-related Woodland communities occupied the Churchill and Reindeer Lake corridor around AD 1.","false"
"province","nunatonowago_province","keewatin_n_area","land","Laurel Hayes–Gods-Lake Lands","archaeological name / indigenous hydronyms / English","horizon-paired-water construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","The Hayes and Gods Lake portage country receives a Laurel-era frame without projecting later Cree political geography unchanged.","false"
"province","nunatsiavut_province","labrador_area","land","Dorset Torngat–Okak Coastlands","archaeological English / indigenous geographic names","horizon-paired-coast construction","GEO-PROXY;https://www.heritage.nf.ca/articles/aboriginal/palaeoeskimo-cultures.php","high","Dorset communities occupied the northern Labrador coast around AD 1; Torngat and Okak delimit this footprint.","false"
"province","nunavik_atlantic_sea_zones_province","labrador_sea_area","marine","Dorset Qikiqtaaluk–Torngat Atlantic Waters","archaeological English / indigenous geographic names","horizon-paired-landmark maritime construction","GEO-PROXY;https://www.thecanadianencyclopedia.ca/en/article/dorset-culture","high","Dorset maritime lifeways linked Baffin and the Torngat coast around the campaign boundary.","false"
"province","nunavik_sea_zones_province","hudson_bay_sea_zones_area","marine","Dorset Salikuit–Ungava Waters","archaeological English / indigenous geographic names","horizon-paired-landmark maritime construction","GEO-PROXY;https://www.thecanadianencyclopedia.ca/en/article/dorset-culture","high","Dorset communities used the Salikuit islands and Ungava approaches without the modern Nunavik regional label.","false"
"province","nungu_province","east_mossi_area","land","Pendjari–Oti Iron-Age Lands","local hydronyms / archaeological English","paired-river horizon construction","GEO-PROXY;MET-IRON","medium","Early ironworking communities along the Pendjari and Oti provide a local frame before the much later Nungu and Gurma states.","false"
"province","nuomin_province","songnen_area","land","Xianbei–Yilou Nen Plains","Han Chinese ethnonyms / local hydronym / English","attested peoples-river construction","GEO-PROXY;HAN-WR","medium","The Nen plain lay between Xianbei pastoral zones and Yilou forest communities around AD 1.","false"
"province","nupe_province","lower_niger_area","land","Nok–Niger-Benue Iron Lands","archaeological name / local hydronyms / English","horizon-river-confluence construction","GEO-PROXY;MET-IRON","medium","Nok-linked and other early ironworking communities around the Niger–Benue confluence predate the Nupe state.","false"
"province","nura_province","desht_kipchak_area","land","Kangju Nura–Sarysu Pastures","ancient polity name / local hydronyms / English","attested polity-paired-river pastoral construction","GEO-PROXY;HAN-WR","high","The Nura–Sarysu steppe lay within the wider Kangju pastoral and exchange sphere around AD 1.","false"
"province","nurota_province","transoxiana_area","land","Sogdian Nurata–Zeravshan Marches","ancient ethnonym / local geographic name and hydronym / English","people-landmark-frontier construction","GEO-PROXY;https://www.iranicaonline.org/articles/sogdiana","high","The Nurata foothills formed the northern margin of Sogdiana and the Zeravshan oasis network.","false"
"province","nusaybin_province","jazira_area","land","Nisibis and Mygdonia","Ancient Greek / Latin","attested center-region construction","GEO-PROXY;https://www.iranicaonline.org/articles/nisibis","high","Nisibis was the principal city of Mygdonia and a key Roman–Parthian frontier center around AD 1.","false"
"province","nushagagmiut_province","western_arctic_area","land","Unaliq Nushagak–Togiak Lands","archaeological name / indigenous hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://www.nps.gov/articles/iyatayet.htm","medium","Norton-related coastal traditions frame the Nushagak and Togiak drainage near the campaign boundary.","false"
"province","nyang_province","tsang_area","land","Yarlung–Nyang Highland Valleys","local hydronyms / English","paired-river landform construction","GEO-PROXY;https://www.britannica.com/place/Tibet/History","medium","The agricultural valleys south of the central plateau receive a local hydronymic frame before the later Tibetan empire.","false"
"province","nyanga_province","north_gabun_area","land","Nyanga–Kouilou Early-Iron Littoral","local hydronyms / archaeological English","paired-river horizon construction","GEO-PROXY;JAH-BANTU-MOBILITY","medium","Early farming and ironworking communities along the two Atlantic rivers predate later coastal polities and ethnic borders.","false"
"province","nyarong_province","kham_area","land","Qiangic Upper-Yalong Lands","linguistic English / local hydronym","people-river construction","GEO-PROXY;HAN-WR","medium","The upper Yalong valleys are placed in a broad Qiangic highland sphere without backdating later Nyarong administration.","false"
"province","nye_province","great_basin_area","land","Desert-Archaic Kawich–Amargosa Lands","archaeological English / local geographic names","horizon-paired-landmark construction","GEO-PROXY;https://www.nps.gov/grba/learn/historyculture/index.htm","medium","Desert Archaic communities occupied the central Great Basin before the much later Nye county and historic Numic territorial map.","false"
