granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
location,onontchataronon,kitchissippi_province,land,Kichesipirini Great-River Villages,ancient or local ethnogeographic / English,reviewed AD 1 local reconstruction,GEO-PROXY;OAS-POINT;installed:in_game/map_data/location_templates.txt,medium,A reviewed ancient identity or physical landscape replaces the later map label.,false
location,onoto,caracas_province,land,Aragua–Tuy Coastal Valleys - ESE Lowlands,ancient or local ethnogeographic / English,source-led AD 1 province-centroid construction,installed:in_game/map_data/definitions.txt;JWP-ORINOCO;GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,The label combines the researched AD 1 province frame with installed terrain and relative position.,false
location,onotoa_atoll,tungaru_province,land,Tungaru Onotoa Coral Atoll,ancient or local ethnogeographic / English,reviewed AD 1 local reconstruction,GEO-PROXY;ANU-MIC;installed:in_game/map_data/location_templates.txt,medium,A reviewed ancient identity or physical landscape replaces the later map label.,false
location,onotoa_coast,tungaru_sea_zones_province,sea,Tungaru Onotoa Lagoon Waters,ancient or local ethnogeographic / English,reviewed AD 1 local reconstruction,GEO-PROXY;ANU-MIC;installed:in_game/map_data/location_templates.txt,medium,A reviewed ancient identity or physical landscape replaces the later map label.,false
location,onseong,gyongseong_province,land,Okjeo Tumen Foothills,ancient or local ethnogeographic / English,reviewed AD 1 local reconstruction,GEO-PROXY;NMK-SAMHAN;installed:in_game/map_data/location_templates.txt,medium,A reviewed ancient identity or physical landscape replaces the later map label.,false
location,onslow_bay,carolinas_coast_province,sea,Deptford Barrier-Island Waters,ancient or local ethnogeographic / English,reviewed AD 1 local reconstruction,installed:in_game/map_data/definitions.txt;https://parkplanning.nps.gov/showFile.cfm?projectID=91276&sfid=687003;GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,A reviewed ancient identity or physical landscape replaces the later map label.,false
location,ontajarvi,inner_white_karelia_province,land,White-Sea–Kuito Forest - SSE Lowlands,ancient or local ethnogeographic / English,source-led AD 1 province-centroid construction,GEO-PROXY;ENC-NEEU;installed:in_game/map_data/location_templates.txt,medium,The label combines the researched AD 1 province frame with installed terrain and relative position.,false
location,ontaretse,stadacona_province,land,Stadaconan Great-River Headlands,ancient or local ethnogeographic / English,reviewed AD 1 local reconstruction,GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/;installed:in_game/map_data/location_templates.txt,medium,A reviewed ancient identity or physical landscape replaces the later map label.,false
location,ontonagon,keweenaw_province,land,Superior Copper-Woodland Uplands,ancient or local ethnogeographic / English,reviewed AD 1 local reconstruction,GEO-PROXY;https://www.nps.gov/kewe/learn/historyculture/prehistory.htm;installed:in_game/map_data/location_templates.txt,medium,A reviewed ancient identity or physical landscape replaces the later map label.,false
location,onushkis,trakai_province,land,East-Baltic Nemunas–Merkys Lands - E Lowlands,ancient or local ethnogeographic / English,source-led AD 1 province-centroid construction,GEO-PROXY;https://www.britannica.com/topic/Baltic-languages;installed:in_game/map_data/location_templates.txt,medium,The label combines the researched AD 1 province frame with installed terrain and relative position.,false
location,onyuu,tango_province,land,Tango–Yosa Yayoi Coast - ESE Mountain Tract,ancient or local ethnogeographic / English,source-led AD 1 province-centroid construction,installed:in_game/map_data/definitions.txt;ISIJ-YAY;JAA-YAY;installed:in_game/map_data/location_templates.txt,medium,The label combines the researched AD 1 province frame with installed terrain and relative position.,false
location,oochi,iwami_province,land,Western Izumo Coastal - ENE Hill Country,ancient or local ethnogeographic / English,source-led AD 1 province-centroid construction,GEO-PROXY;https://www.metmuseum.org/toah/hd/yayo/hd_yayo.htm;installed:in_game/map_data/location_templates.txt,medium,The label combines the researched AD 1 province frame with installed terrain and relative position.,false
location,oodweyne,haud_province,land,Haud–Webi Pastoral - N High Plain,ancient or local ethnogeographic / English,source-led AD 1 province-centroid construction,GEO-PROXY;QI-EAFRICA;installed:in_game/map_data/location_templates.txt,medium,The label combines the researched AD 1 province frame with installed terrain and relative position.,false
location,oohkoi_yohe,mah_hom_province,land,Basketmaker Plateau Archaic - E High Plain,ancient or local ethnogeographic / English,source-led AD 1 province-centroid construction,GEO-PROXY;https://www.nps.gov/articles/000/archaic-culture.htm;installed:in_game/map_data/location_templates.txt,medium,The label combines the researched AD 1 province frame with installed terrain and relative position.,false
