"granularity","key","parent","kind","ad1_name","language","method","source","confidence","note","unchanged_verified"
"province","lalsk_province","ust_sysola_area","land","Vychegda–Sysola Glyadenovo","local hydronyms / archaeological term","archaeological river-region construction","GEO-PROXY;BSE-GLYADENOVO;ENC-NEEU","high","Glyadenovo material frames the Vychegda-Sysola forest zone around AD 1.","false"
"province","lamanai_province","peten_area","land","Preclassic Maya of Lamanai–Altun Ha","Maya centers / archaeological period","paired-center archaeological construction","GEO-PROXY;https://www.metmuseum.org/toah/hd/maya/hd_maya.htm","high","Both centers were occupied within the Preclassic Maya world around the campaign boundary.","false"
"province","lamandau_province","south_borneo_area","land","Lamandau–Jelai River","local hydronyms / English","paired-river archaeological construction","GEO-PROXY;QSR-LIANG-JON;QINT-LIANG-ABU","medium","The southwest Bornean river corridors provide a cautious long-term community frame.","false"
"province","lamogai_province","bismarck_area","land","Muso–Nakanai Post-Lapita","local island name / archaeological term / English","archaeological island construction","GEO-PROXY;CAM-LAP","high","Post-Lapita communities occupied western New Britain by AD 1.","false"
"province","lampung_province","south_sumatra_area","land","Lampung–Semangka Metal-Age","local regional and bay names / archaeological English","paired-region archaeological construction","GEO-PROXY;https://www.cambridge.org/core/books/abs/cambridge-world-prehistory/southeast-asia/8784CA1FB2B45C97C99E03EF7193B923","medium","Metal-Age communities of southern Sumatra precede later Lampung states.","false"
"province","lamu_archipelago_province","tana_area","land","Northern Azanian Island Ports","Greek classical coast / English","attested coast and port-network construction","GEO-PROXY;PER;UC-MOMBASA","medium","The Lamu-Tana islands are framed within the northern Azanian maritime corridor.","false"
"province","lancashire_province","northumbria_area","land","Brigantes of Belisama–Setantii Coast","Latinized Celtic ethnonym and classical river-people names","attested people-coast construction","GEO-PROXY;PTO-GEO-II2","high","The Ribble-Mersey shore lay within Brigantian territory associated with Belisama and the Setantii.","false"
"province","lang_son_province","red_river_delta_area","land","Jiaozhi–Yelang Mountain March","Han Chinese commandery and polity names / English","paired frontier-region construction","GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens","medium","The mountain passes formed a northern march between Jiaozhi and the Yelang-associated interior.","false"
"province","lanzhou_province","dali_area","land","Nujiang–Gaoligong Ailao","local hydronym and mountain name / Han ethnonym","river-mountain people construction","GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens","medium","The Nujiang and Gaoligong highlands lay within the broad Ailao frontier world.","false"
"province","lar_province","fars_area","land","Persis–Carmania Gulf March","Greek-Latin classical regions / English","paired attested-region construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+15.3&fromdoc=Perseus%3Atext%3A1999.01.0239","high","The Lar coast and interior formed the transition from Persis toward Carmania.","false"
"province","larende_province","central_anatolia_area","land","Lycaonia of Laranda–Derbe","Greek classical region and cities","attested region-center construction","GEO-PROXY;STR-ANA","high","Laranda and Derbe anchored southern Lycaonia around AD 1.","false"
"province","lasta_province","central_ethiopia_area","land","Aksumite Agaw–Lasta Highlands","Greek-Latin kingdom / regional ethnonym and place / English","polity-highland construction","GEO-PROXY;https://whc.unesco.org/en/list/15/","medium","The northern Ethiopian highlands linked Agaw communities with the emerging Aksumite sphere.","false"
"province","lata","gujarat_area","land","Lata of Barygaza","Sanskrit region / Greek port name","attested region-center construction","GEO-PROXY;PER","high","Barygaza was the principal western Indian port of ancient Lata.","false"
"province","latakia_province","levant_area","land","Laodicea–Aradus Phoenician Coast","Greek cities / classical regional name","paired-center coastal construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+16.2&fromdoc=Perseus%3Atext%3A1999.01.0239","high","Laodicea and Aradus anchored the northern Phoenician-Syrian coast.","false"
"province","latgalia_province","baltic_area","land","Daugava–Lubans Striated-Pottery","local river and lake names / archaeological term","archaeological river-lake construction","GEO-PROXY;LIT-NEMAN-STRIATED","high","Striated-Pottery communities occupied the eastern Baltic lake-river corridor.","false"
"province","laurentides_province","lower_canada_area","land","Ottawa–Tapiskwan Shield","local hydronyms / English","paired-river landscape construction","GEO-PROXY;OAS-POINT","medium","The Laurentian shield river corridors provide a Woodland community frame.","false"
"province","lavoro_province","campania_area","land","Neapolis–Capua Campania","Greek-Latin cities and Roman region","paired-center regional construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+5.4&fromdoc=Perseus%3Atext%3A1999.01.0239","high","Neapolis and Capua anchored Roman Campania around AD 1.","false"
"province","lavras_province","pindorama_area","land","Grande–Paraopeba Cerrado","local hydronyms / English","paired-river biome construction","GEO-PROXY;SA-EXPANSIONS","medium","The river headwaters provide a cautious cerrado-community frame.","false"
"province","lawal_lakwaia_sea_zones_province","la_plata_sea_zones_area","marine","Eastern Karukinka Outer Waters","English","directional physical maritime construction","GEO-PROXY;https://www.cambridge.org/core/books/abs/archaeology-of-the-pampas-and-patagonia/introduction/2521FD9F2856E2FBD6517DA57D9C3170","medium","The Atlantic-facing channels receive a physical frame without colonial sound names.","false"
"province","lebanon_province","levant_area","land","Phoenicia of Berytus–Sidon","Greek-Latin region and cities","attested region-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+16.2&fromdoc=Perseus%3Atext%3A1999.01.0239","high","Berytus and Sidon anchored the Phoenician coast and Mount Lebanon.","false"
"province","leczyca_province","central_poland_area","land","Bzura–Warta Przeworsk","local hydronyms / archaeological term","archaeological river-region construction","GEO-PROXY;UW-PRZEWORSK","high","Przeworsk communities occupied the Bzura-Warta plain around AD 1.","false"
"province","leeward_and_windward_coast","antilles_sea_area","marine","Southern Antillean Passage Waters","English","directional archipelago maritime construction","GEO-PROXY;SCIADV-CARIB","medium","The Lesser-Antillean channels receive a regional physical name without European windward terminology.","false"
"province","leeward_islands_province","lesser_antilles_area","land","Northern Antillean Saladoid","English / archaeological term","directional archaeological construction","GEO-PROXY;SCIADV-CARIB;JWP-ORINOCO","high","Saladoid communities occupied the northern Lesser Antilles around AD 1.","false"
"province","legnica_province","silesia_area","land","Oder–Kaczawa Przeworsk","local hydronyms / archaeological term","archaeological river-region construction","GEO-PROXY;UW-PRZEWORSK","high","Przeworsk communities occupied the lower-Silesian river corridor.","false"
"province","lehigh_province","pennsylvania_area","land","Lenape–Lecha Woodland","local hydronyms / archaeological English","paired-river archaeological construction","GEO-PROXY;NYSM-POINT","medium","Middle Woodland communities occupied the Delaware-Lehigh watershed.","false"
"province","leicestershire_province","midlands_area","land","Corieltauvi of Ratae","Latinized Celtic ethnonym and Roman center","attested people-center construction","GEO-PROXY;PTO-GEO-II2","high","Ratae was the principal center of the Corieltauvi in the East Midlands.","false"
"province","leine_province","lower_saxony_area","land","Cherusci–Chatti Leine Hills","Latinized Germanic ethnonyms / local hydronym","attested peoples and river construction","GEO-PROXY;TAC-GER","high","The Leine-Weser uplands lay between Cherusci and Chatti spheres.","false"
"province","leipziger_bucht_province","upper_saxony_area","land","Hermunduri–Elbe Plain","Latinized Germanic ethnonym / local hydronym / English","attested people-landscape construction","GEO-PROXY;TAC-GER","high","The central Elbe plain belonged to the wider Hermunduri sphere.","false"
