granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
area,finland_area,scandinavian_region,land,South Finnic Lands,archaeological English / Finnic,archaeological-cultural geographic construction,installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Finland,medium,A broad southern Finnic frame fits the installed lake and Gulf of Finland footprint without projecting the medieval kingdom or modern state.,false
area,flanders_area,north_german_region,land,Menapian Coast,Latinized Gallic ethnonym / English,attested people and coastal construction,installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4,high,The Menapii occupied the lower Scheldt and coastal lowlands represented by the area before medieval Flanders.,false
area,florida_area,east_coast_region,land,Deptford–Glades Peninsula,archaeological English,archaeological-horizon composite,installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Woodland-cultures,medium,Deptford and Glades archaeological traditions distinguish northern and southern parts of the peninsula around AD 1 without a later colonial name.,false
area,franche_comte_area,france_region,land,Sequani,Latinized Gallic ethnonym,attested people matched to footprint,installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4,high,The Sequani are the securely attested people of the Saône–Jura footprint later called Franche-Comté.,false
area,franconia_area,south_german_region,land,Main–Hermunduri Lands,Latinized Germanic ethnonym / English,attested people and river-basin construction,installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp,high,"The Main basin and adjacent uplands are framed by the Hermunduri and neighboring Suebian communities, replacing the medieval Frankish name.",false
area,friesland_area,north_german_region,land,Frisii,Latinized Germanic ethnonym,attested people matched to footprint,installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp,high,The installed lower Rhine and Wadden coast footprint is the securely attested homeland of the Frisii around AD 1.,false
area,fujian_area,east_china_region,land,Minyue,Han Chinese exonym,attested polity-region,installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens,high,Minyue is the contemporary Han-period frame for the Fujian coast and Min River country before later provincial Fujian.,false
area,futa_tooro_area,guinea_region,land,Senegal–Falémé Lands,local hydronyms / English,river-basin construction,installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Senegal-River,medium,The Senegal and Falémé basins define the installed inland footprint without projecting the much later Futa Toro state into AD 1.,false
area,futuna_area,polynesia_region,land,Futuna,local Polynesian name,verified enduring island name,installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Futuna-Island,high,Futuna is the established indigenous island name and is suitable for the settlement horizon represented at AD 1.,true
area,galapagos_area,andes_region,land,Equatorial Ocean Isles,English,uninhabited physical-geography construction,installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Galapagos-Islands,medium,The islands were uninhabited in AD 1; a neutral latitude-and-setting label avoids the later Spanish name.,false
area,galicia_area,iberia_region,land,Gallaecia,Latin,attested Roman province-region,installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D3,high,Gallaecia is the contemporary classical name for the northwestern Iberian footprint and its Gallaeci peoples.,false
area,gambia_area,guinea_region,land,Gambia–Casamance,local hydronyms,paired river-basin construction,installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Gambia-River,medium,The paired river corridors provide a durable geographic label without back-projecting later Senegambian kingdoms.,false
area,gansu_area,west_china_region,land,Hexi Commanderies,Han Chinese administrative geography / English,attested commandery-zone composite,installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens,high,The footprint follows the Han Hexi corridor commanderies from Wuwei through Zhangye Jiuquan and Dunhuang rather than the later Gansu province.,false
area,gao_area,sahel_region,land,Middle Niger Bend,English hydronymic geography,river-basin construction,installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Niger-River,high,The great bend and middle Niger settlement corridor identify the area without projecting the later Gao imperial polity backward.,false
area,gascony_area,france_region,land,Aquitani and Elusates,Latinized ethnonyms,attested ethnographic synthesis,installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4,high,The Aquitani macro-group and Elusates anchor the lands south of the Garonne before medieval Gascony.,false
area,georgia_area,caucasus_region,land,Colchis and Iberia,Greek / Latin classical names,attested paired kingdoms,installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D11,high,The western Colchian and eastern Caucasian Iberian kingdoms jointly cover the installed Georgian footprint at AD 1.,false
area,georgia_us_area,east_coast_region,land,Deptford–Swift Creek Lands,archaeological English,archaeological-horizon composite,installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Woodland-cultures,medium,Contemporary Woodland archaeological traditions replace the colonial country-derived Georgia name without inventing one polity.,false
area,ghana_area,sahel_region,land,Dhar Tichitt–Senegal Sahel,archaeological place names / English,archaeological and landscape composite,installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Tichitt,medium,The Tichitt cultural landscape and Senegal-facing Sahel fit the footprint while avoiding the later Ghana imperial label.,false
area,gold_coast_area,guinea_region,land,Volta–Ouémé Forests,local hydronyms / English,river-and-ecology construction,installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Volta-River,medium,The Volta and Ouémé drainage forests replace the early-modern commodity-coast name with durable physical geography.,false
