granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
location,erzurum,erzurum_province,land,Upper Euphrates Armenia: Erzurum Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,es_semara_coast,coast_of_morocco,sea,Atlantic Waters of Mauretania: Es Semara Coast expanse,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,esashi,rikuchuu_province,land,Emishi Kitakami–Iwate Lands: Esashi tract,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,esashi_hokkaido,kitami_province,land,Epi-Jōmon Okhotsk-Coast: Esashi Hokkaido Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,escatawppa,mobile_province,land,Mobile–Tombigbee Woodland: Escatawppa Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,eschenbach,frankische_schweiz_province,land,Hermunduri–Regnitz Uplands: Eschenbach Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,eschwege,hessen_bergland_province,land,Chatti of the Eder–Fulda Uplands: Eschwege Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,escocesa_bay,north_hispaniola_coast_sea_province,sea,Northern-Hispaniola Saladoid Waters: Escocesa Bay expanse,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,escoria,parita_province,land,Gran-Coclé Parita-Bay Lands: Escoria tract,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,escurial,trujillo_province,land,Vettones of Turgalium–Tagus: Escurial Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,eseejja,mamore_province,land,Mamoré–Beni Llanos: Eseejja Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,eseka,eseka_province,land,Nyong–Sanaga Forests: Eseka Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,esekatik,kjipuktuk_province,land,Kjipuktuk–Atlantic Mi'kma'ki: E'se'katik Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,esfarayen,esfarayen_province,land,Eastern Comisene–Parthia: Esfarāyen Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,esgueira,beira_litoral_province,land,Conimbriga–Mondego: Esgueira Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,esk_el,north_shuswap_province,land,Secwepemc–Shuswap Plateau - Middle-WNW High Plain,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
location,eskalapia,chattarawa_province,land,Ohio–Cumberland Woodlands: Eskalapia Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label without postcolonial eponyms.,false
