granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
province,disappointment_province,tuamotu_area,land,Northern Tuamotu Atoll Communities,local archipelago name / English,directional atoll-community construction,GEO-PROXY;ANU-MIC,medium,Napuka and Puka Puka are represented as northern atoll communities without the colonial Disappointment name.,false
province,divrigi_province,cappadocia_area,land,Lesser Armenia–Melitene Highlands,Greek-Latin historical regions / English,paired attested-region construction,GEO-PROXY;STR-ANA,high,The upper Euphrates and Anti-Taurus footprint lay between Lesser Armenia and Melitene.,false
province,diyarbekir_province,jazira_area,land,Sophene–Arzanene Tigris Lands,Greek-Latin historical regions / local hydronym,paired attested regions and river construction,GEO-PROXY;https://www.iranicaonline.org/articles/arzanjan,high,The upper Tigris around Amida linked Sophene and Arzanene under Roman-Parthian rivalry.,false
province,djabuganjdji_bindal_province_coast,northern_australia_high_sea_zones_area,marine,Burdekin–Whitsunday Maritime Waters,local geographic names / English,paired-river archipelago maritime construction,GEO-PROXY;https://www.britannica.com/place/Burdekin-River,medium,The Burdekin mouth and Whitsunday passages identify the coast without a modern administrative label.,false
province,djabuganjdji_province,australian_yalanji_area,land,Burdekin–Wet Tropics Communities,local hydronym / English,river-biome community construction,GEO-PROXY;https://www.britannica.com/place/Burdekin-River,medium,The river and wet-tropical coastal ranges frame diverse northern Queensland communities.,false
province,djafara_province,tripolitania_area,land,Lotophagitis–Tripolitanian March,Greek classical coast name / Latin region / English,attested coastal-border construction,GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+17.3&fromdoc=Perseus%3Atext%3A1999.01.0239,high,Djerba and the Matmata coast formed classical Lotophagitis on the Tripolitanian frontier.,false
province,djemah_province,central_africa_area,land,Kotto–Ubangi Forest Communities,local hydronyms / English,paired-river archaeological construction,GEO-PROXY;SCI-CONGO-RAINFOREST,medium,The Kotto and Ubangi basin provides a cautious frame for varied forest communities.,false
province,djenne_province,timbuktu_area,land,Inland Niger Delta Iron Communities,English / archaeological term,archaeological delta construction,GEO-PROXY;https://www.metmuseum.org/essays/inland-niger-delta,high,Jenne-jeno and related delta settlements were established centuries before AD 1.,false
province,djerid_province,tunis_area,land,Capsian Chott–Gafsa Oases,Latinized ancient regional name / local geography,archaeological oasis-region construction,GEO-PROXY;https://www.britannica.com/place/Gafsa,medium,The Gafsa and chott oases retain the ancient Capsian geographic frame without a later provincial name.,false
province,doaba_province,punjab_area,land,Trigarta–Upper Satadru Doab,Sanskrit historical region and hydronym,attested region-river construction,GEO-PROXY;BM-TRIBAL-COINS,high,Trigarta and the upper Satadru frame the Jalandhar interfluve at the campaign boundary.,false
province,dobea_province,central_ethiopia_area,land,Afar–Chercher Pastoral Highlands,regional names / English,paired-landscape pastoral construction,GEO-PROXY;QI-EAFRICA,medium,The Afar margin and Chercher highlands provide a cautious pastoral frame before later Dobe'a identity.,false
province,doberai_province,wanin_area,land,Doberai–Maybrat Forest Communities,local peninsula and highland names / English,paired-landscape archaeological construction,GEO-PROXY;ANU-BOMBERAI;JPA-PAPUA,medium,The Bird's Head forest and Maybrat uplands support distinct long-lived community landscapes.,false
province,doboka_province,transylvania_area,land,Dacian Samus–Marisus Highlands,Latin ethnonym and ancient hydronyms / English,attested people-river construction,GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+7.3&fromdoc=Perseus%3Atext%3A1999.01.0239,high,The Someș and Mureș uplands belonged to the Dacian interior around AD 1.,false
province,dobrzyn_province,central_poland_area,land,Vistula–Drwęca Przeworsk Frontier,local hydronyms / archaeological term / English,archaeological river-border construction,GEO-PROXY;UW-PRZEWORSK,high,The lower Vistula and Drwęca marked a Przeworsk-Oksywie contact zone.,false
province,doeg_province,virginia_area,land,Potomac–Rappahannock Woodland Communities,local hydronyms / archaeological English,paired-river archaeological construction,GEO-PROXY;https://www.nps.gov/articles/000/woodland-period.htm,medium,Middle Woodland communities replace the later historic-period Doeg identity.,false
province,dolgan_province,yenisei_area,land,Lower Yenisei Tundra Communities,local hydronym / English,river-biome community construction,GEO-PROXY;https://www.britannica.com/place/Yenisey-River,medium,A physical lower-Yenisei frame avoids projecting the much later Dolgan ethnonym into AD 1.,false
province,donau_moos_province,bavaria_area,land,Vindelici–Raetian Danube Lands,Latinized ethnonym and Roman region / local hydronym,attested people-region construction,GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.6&fromdoc=Perseus%3Atext%3A1999.01.0239,high,The upper Danube around Augusta Vindelicum had recently entered Roman Raetia.,false
province,donegal_province,ulster_area,land,Vennicnii of the Northern Coast,Latinized Celtic ethnonym / English,attested people and directional construction,GEO-PROXY;PTO-GEO-II1;DARCY-IRE,medium,Ptolemy's Vennicnii provide a cautious classical frame for the far northwest of Ireland.,false
province,donetsk_province,sloboda_ukraine_area,land,Donets–Vorskla Sarmatian Forest-Steppe,local hydronyms / Latin ethnonym / English,river and archaeological construction,GEO-PROXY;WIL-SAR;ANA-SAR,high,The Donets and Vorskla corridor formed a mixed forest-steppe edge of the Sarmatian world.,false
province,dongchang_province,shandong_area,land,Dong Commandery–Ji River Plain,Han Chinese commandery and river names / English,attested administration and river construction,GEO-PROXY;https://ctext.org/han-shu/di-li-zhi/ens,high,The Liaocheng plain lay within Han Dong commandery near the ancient Ji river course.,false
province,dongchuan_province,chuannan_area,land,Tanglang–Ailao Highlands,Han Chinese county and ethnonym / English,attested frontier-landscape construction,GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens,high,Tanglang county and the Ailao-facing uplands replace the later Dongchuan prefecture.,false
province,donggala_province,celebes_area,land,Poso–Palu Metal-Age Communities,local geographic names / archaeological English,paired-basin archaeological construction,GEO-PROXY;ANU-SULAWESI;SPAFA-TOPOGARO,high,Distinct Metal-Age communities occupied the Poso and Palu basins around AD 1.,false
province,dongguan_province,guangdong_area,land,Nanhai Commandery–Pearl Estuary,Han Chinese commandery / English geographic name,attested administration and estuary construction,GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens,high,The Pearl estuary formed the core of Han Nanhai commandery.,false
province,dongnae_province,yeongnam_area,land,Byeonhan–Gaya Southeastern Coast,early Korean confederation names / English,attested polity and coastal construction,GEO-PROXY;NMK-SAMHAN;NMK-YEONGNAM,high,The Busan-Miryang corridor belonged to the Byeonhan world from which Gaya developed.,false
province,dongping_province,shandong_area,land,Dongping Kingdom–Wen River,Han Chinese kingdom and river names,attested administration and river construction,GEO-PROXY;https://ctext.org/han-shu/di-li-zhi/ens,high,The Han Dongping kingdom and Wen river directly anchor this Shandong footprint.,false
province,donji_kraji_province,bosnia_area,land,Delmatae–Daesitiates Dinaric Valleys,Latinized Illyrian ethnonyms / English,attested neighboring-peoples construction,GEO-PROXY;OCD-PAN;https://www.britannica.com/topic/Illyrian,high,The western Bosnian valleys lay between Delmatae and Daesitiates communities.,false
province,doolboong_province,northwestern_australia_area,land,Victoria River–Tanami Communities,local geographic names / English,river-desert community construction,GEO-PROXY;https://www.britannica.com/place/Victoria-River-Northern-Territory,medium,The Victoria basin and Tanami margin provide a geographic frame without colonial administrative names.,false
province,dorbod_province,eastern_gobi_area,land,Xiongnu Ulanchab Pastures,Han-era ethnonym / local regional name / English,attested polity and pasture construction,GEO-PROXY;OUP-XIO,high,The Ulanchab grasslands formed part of the southern Xiongnu pasture network.,false
province,dorogobuzh_province,smolensk_area,land,Upper Dnieper–Dvina Communities,local hydronyms / English,paired-river archaeological construction,GEO-PROXY;AWE-DNIEPER-DVINA,medium,The watershed held related but non-uniform forest communities around the campaign boundary.,false
province,dorohei_province,moldavia_area,land,Prut–Siret Carpi Lands,local hydronyms / Latinized ethnonym,attested people-river construction,GEO-PROXY;AAC-LIPITA,medium,The northern Moldavian corridor lay within the wider Carpi and Lipița material horizon.,false
province,dorset_province,west_country_area,land,Durotriges of Dunium,Latinized Celtic ethnonym and place name,attested people-center construction,GEO-PROXY;PTO-GEO-II2,high,The Durotriges and Dunium anchor the Dorset coast and chalk downs around AD 1.,false
province,dosso_province,zarma_area,land,Middle Niger–Dallol Iron Communities,local hydronym and valley term / English,river-valley archaeological construction,GEO-PROXY;https://www.metmuseum.org/toah/hd/aftr/hd_aftr.htm,medium,The Niger and fossil dallol valleys provide a pre-state iron-age frame.,false
province,down_province,ulster_area,land,Voluntii of the Eastern Coast,Latinized Celtic ethnonym / English,attested people and directional construction,GEO-PROXY;PTO-GEO-II1;DARCY-IRE,medium,Ptolemy's Voluntii provide the cautious classical frame for eastern Ulster.,false
province,dracenois_province,provence_area,land,Oxybii–Suelteri of the Argens,Latinized Celtic ethnonyms / local hydronym,attested peoples and river construction,GEO-PROXY;STR-GAL;OCD-GAL,high,The Argens and Maures country lay among the Oxybii and Suelteri of southeastern Gaul.,false
province,drenthe_province,friesland_area,land,Frisii–Chauci Peatlands,Latinized Germanic ethnonyms / English,attested peoples and landscape construction,GEO-PROXY;TAC-GER,high,The peat and heath country lay between the Frisii and Chauci around AD 1.,false
province,drohobych_province,red_ruthenia_area,land,Upper Dniester Lipița Communities,local hydronym / archaeological term / English,archaeological river-region construction,GEO-PROXY;AAC-LIPITA,high,Lipița material directly fits the upper Dniester corridor at the campaign boundary.,false
province,duba_province,hedjaz_area,land,Leuke Kome–Madian Coast,Greek port name and ancient regional name,attested port-region construction,GEO-PROXY;PER;NABATAEA-MAP,high,Leuke Kome and Madian identify the Nabataean Red Sea coast around AD 1.,false
province,dubawnt_province,athabasca_area,land,Thelon–Dubawnt Tundra Communities,local hydronyms / English,paired-river tundra construction,GEO-PROXY;https://www.thecanadianencyclopedia.ca/en/article/thelon-river,medium,The two Arctic drainages provide a neutral frame for mobile tundra communities.,false
province,dublin_province,leinster_area,land,Eblani of the Liffey Coast,Latinized Celtic ethnonym / local hydronym / English,attested people-coast construction,GEO-PROXY;PTO-GEO-II1;DARCY-IRE,medium,Ptolemy's Eblani offer the strongest cautious classical frame for the Dublin coast.,false
province,duc_de_gloucester_province,tuamotu_area,land,Southern Tuamotu Atoll Communities,local archipelago name / English,directional atoll-community construction,GEO-PROXY;ANU-MIC,medium,The southern atolls receive an indigenous-regional frame without the colonial du Gloucester name.,false
