granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
area,brabant_area,north_german_region,land,Nervii and Eburones,Latinized tribal names,attested ethnographic synthesis,GEO-PROXY;STR-GAL;PLN-GAL;CAH-XI,high,The lower Meuse Scheldt and Brabant footprint crosses the principal zones associated with the Nervii and Eburones; the paired peoples replace the medieval duchy name.,false
area,brandenburg_area,north_german_region,land,Semnonian Lands,Latinized Germanic ethnonym / English,attested people plus footprint construction,GEO-PROXY;STR-GER;TAC-GER,high,The middle Elbe Havel and lower Oder footprint is assigned to the Semnones in the campaign culture map; Lands avoids implying a centralized state.,false
area,bratsk_area,west_siberia_region,land,Upper Angara,English hydronymic geography,river-basin construction,GEO-PROXY;https://www.britannica.com/place/Angara-River,high,The child locations cluster on the upper and middle Angara around Bratsk; no unsupported single AD 1 ethnicity is imposed.,false
area,brazil_sea_zones_area,brazil_region,marine,Great Eastern Coastal Sea,English,directional physical-geography construction,GEO-PROXY;installed:in_game/map_data/definitions.txt,medium,Footprint-led name for the long Atlantic frontage of eastern South America; it avoids the colonial Brazil label and a false continent-wide indigenous hydronym.,false
area,brittany_area,france_region,land,Armorica,Latin,attested classical macro-region,GEO-PROXY;STR-GAL;PLN-GAL;CAH-XI,high,Armorica is the classical coastal-land frame for the Breton peninsula and its adjacent Gallic communities.,false
area,bulgaria_area,balkan_region,land,Moesi and Getae,Latinized Thracian ethnonyms,attested ethnographic synthesis,GEO-PROXY;STR-BAL;CAH-XI,high,The lower Danube and eastern Balkan footprint spans the Moesi and Getic worlds at AD 1 before later Bulgaria.,false
area,burgundy_area,france_region,land,Aedui,Latinized Gallic ethnonym,attested people matched to footprint,GEO-PROXY;STR-GAL;PLN-GAL;PLE,high,Autun Macon and the Saone-facing interior form the documented Aeduan heartland; the medieval Burgundy label is removed.,false
area,bursol_area,west_siberia_region,land,Kulunda–Irtysh Lands,English hydronymic geography,river-basin construction with archaeological context,GEO-PROXY;ASU-ALTAI-KULAY;ACSS-ALTAI-XIONGNU,medium,The salt-lake steppe between Kulunda and the upper Irtysh is a safer AD 1 frame than the later Bursol settlement name or a claim of direct Xiongnu rule.,false
area,butana_area,nubia_region,land,Island of Meroë,Ancient Greek conventional English,attested ancient regional name,GEO-PROXY;https://www.britishmuseum.org/collection/object/Y_EA1650;https://whc.unesco.org/en/list/1336/,high,The Nile Atbara and Blue Nile enclosure was historically called the Island of Meroe and contains the Kushite royal core.,false
area,california_area,west_coast_region,land,Great Valley and Coastal,English,physical-geography construction,GEO-PROXY;https://scholarlypress.si.edu/store/anthropology-archaeology/handbook-north-american-indians-volume8-california/,medium,The broad engine area contains many distinct communities from the Klamath to southern California; a landscape label avoids projecting one later ethnonym across them.,false
area,caly_area,colombia_region,land,Calima–Cauca Lands,indigenous hydronyms / English,archaeological-region construction,GEO-PROXY;https://enciclopedia.banrepcultural.org/index.php?title=Calima;https://www.museonacional.gov.co/colecciones/Anfitriona/2022/Paginas/4-Arque_Diciembre_EN.aspx,high,The AD 1 footprint centers on the Calima archaeological sequence and Cauca valley while extending toward Choco and Tumaco.,false
