granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
"province","assupink_province","new_jersey_area","land","Assunpink–Musconetcong","Lenape hydronyms","paired river-basin construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Delaware-River","medium","Two Lenape river names distinguish the central New Jersey footprint without leaving the vanilla form unchanged.","false"
"province","astorga_province","leon_area","land","Asturica–Bergidum","Latin / Celtic-Latin place names","attested city-district composite","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Astorga","high","Asturica Augusta and the Bergidum district anchor the Asturian mountain and Bierzo footprint at AD 1.","false"
"province","astrakhan_province","astrakhan_area","land","Lower Rha–Aorsi Delta","Greek hydronym / Latinized ethnonym / English","attested river-people landform construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D11","high","The lower Rha delta and Aorsi steppe replace the medieval city name Astrakhan.","false"
"province","asyut_province","upper_egypt_area","land","Lycopolites–Panopolites","Greek nome names","attested paired nomes","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D17","high","The Lycopolite and Panopolite nomes cover Asyut Akhmim and the adjacent Nile reach in Roman Egypt.","false"
"province","atacama_coastal_sea_zones_province","andes_sea_zones_area","marine","Atacama Littoral Waters","indigenous regional name / English","coastal physical-geography construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Atacama-Desert","high","A littoral qualifier gives the arid coast a distinct deliberate name rather than the raw vanilla sea-zone label.","false"
"province","atacama_province","atacama_area","land","Likan Antai Salt Pans","indigenous ethnonym / English","people-and-landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Atacama-Desert","medium","Likan Antai communities and the salar basins frame the desert oases without a modern administrative reading.","false"
"province","atacames_province","quitu_area","land","Jama–La Tolita Coast","archaeological place names / English","archaeological-horizon coastal composite","installed:in_game/map_data/definitions.txt;https://www.metmuseum.org/toah/hd/ande/hd_ande.htm","high","Jama-Coaque and La Tolita traditions fit the northern Ecuadorian coast around AD 1 better than later Atacames.","false"
"province","atakpame_province","yoruba_area","land","Atakora–Ouémé Hills","local geographic names / English","upland-river construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Atakora-Mountains","medium","The Atakora uplands and Ouémé drainage replace the later Atakpamé town label across the broad footprint.","false"
"province","atbai_province","butana_area","land","Blemmyan Atbara Lands","Latinized ethnonym / local hydronym / English","attested people and river construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D17","high","Blemmyan groups and the Atbara–Baraka corridors frame the eastern desert at AD 1.","false"
"province","atchakangouen_province","indiana_area","land","Wabash–Tippecanoe Woodlands","indigenous hydronyms / English","paired river archaeological landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Woodland-cultures","medium","The Wabash and Tippecanoe basins define contemporary Woodland communities without a later band name.","false"
