granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
location,bavly,bavly_province,land,Ik–Belaya Pyanobor Westlands,archaeological culture / English,archaeological landscape reconstruction,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://www.evrazstep.ru/index.php/aes/article/view/497,medium,Pyanobor horizon label localized to the Ik–Belaya corridor.,false
location,bawean,surabaya_province,land,Iabadiou Minor Isle,Greek geographic / English,classical island reconstruction,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://toyo-bunko.repo.nii.ac.jp/record/3111/files/Memoirs74_01_OHJI.pdf,medium,Bawean is framed as the smaller island north of Iabadiou Java.,false
location,bawika,mayangna_province,land,Upper Coco Forests,local geographic / English,source-led river-basin reconstruction,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://www.britannica.com/place/Nicaragua/History,low,A river-basin label replaces the modern settlement name.,false
location,bawku,tenkodogo_province,land,White Volta Iron Savanna,archaeological geographic / English,source-led regional reconstruction,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://www.britannica.com/place/Volta-River,medium,Uses the durable White Volta landscape and early iron context.,false
location,baxian,chongqing_province,land,Jiangzhou,Han Chinese,attested Han administrative center,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens,high,Jiangzhou was the Han center at modern Chongqing.,false
location,bay,katagalugan_province,land,Western Laguna Lakeshore,proto-Austronesian geographic / English,archaeological landscape reconstruction,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://www.britannica.com/place/Luzon,low,Uses the lake shore before the medieval town name.,false
location,bay_alcudia,balearic_sea_province,sea,Pollentia Narrows,Latin,coastal feature from adjacent Roman center,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://pleiades.stoa.org/places/265996,high,The narrows are named for Roman Pollentia.,false
location,bay_alghero,sardinia_sea_province,sea,Nurra Anchorage,Nuragic geographic / English,ancient coastal landscape reconstruction,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://pleiades.stoa.org/places/472014,medium,Uses the ancient Nurra district rather than medieval Alghero.,false
location,bay_algiers,maghreb_coastal_sea_zones_province,sea,Icosium Roadstead,Latin,attested ancient port projection,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://pleiades.stoa.org/places/295261,high,The bay is named for ancient Icosium.,false
location,bay_aqiq,eritrean_coast_sea_province,sea,Adulitan Southern Roadstead,Greek geographic / English,Periplus coastal reconstruction,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://depts.washington.edu/silkroad/texts/periplus/periplus.html,medium,Positions the water south of the Adulis route.,false
location,bay_arabat,sea_azov_province,sea,Maeotian Western Inlet,Greek geographic / English,classical sea reconstruction,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/11/2*.html,medium,Uses Palus Maeotis geography before the Arabat name.,false
location,bay_beirut,levant_coast_sea_province,sea,Berytus Roadstead,Latin,attested ancient port projection,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://pleiades.stoa.org/places/668216,high,The bay takes the Roman colony name Berytus.,false
