granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
province,ganatchio_province,western_ontario_area,land,Erie–St Clair Point Peninsula,regional hydronyms / archaeological English,dated archaeological tradition and lake-strait construction,installed:in_game/map_data/definitions.txt;OAS-POINT;GEO-PROXY,high,The Detroit-St Clair and western Lake Erie footprint belongs to the Point Peninsula Middle Woodland horizon; later confederacy identities are not backdated.,false
province,ganggye_province,gwanseo_area,land,Upper Yalu Yemaek Lands,regional hydronym / ancient Korean ethnonym,attested people and river subdivision,installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Korea/Ancient-Korea;GEO-PROXY,medium,The Ganggye-Chosan mountain corridor forms the upper Yalu sector of the broader Yemaek world rather than a later Korean province.,false
province,gangneung_province,gwandong_area,land,Ye of the Taebaek,ancient Korean ethnonym / Korean geographic name,attested people and mountain-coast construction,installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Korea/Ancient-Korea;GEO-PROXY,medium,The Gangneung-Samcheok-Uljin coast east of the Taebaek range is assigned to the eastern Ye-Maek sphere at AD 1.,false
province,gani_koe_province,athabasca_area,land,Athabasca Shield Taiga,Indigenous hydronym / English,lake-and-shield ecological construction,installed:in_game/map_data/definitions.txt;https://www.thecanadianencyclopedia.ca/en/article/athabasca-river;GEO-PROXY,low,Lake Athabasca and the adjoining shield-taiga footprint provide a defensible geographic name without imposing later Dene boundaries.,false
province,ganjam_garjats,orissa_area,land,Southern Kalinga Coast,Sanskrit regional name / English,attested region with directional coastal subdivision,installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Kalinga-ancient-state-India;GEO-PROXY,high,Kalinganagara and Kalingapattana anchor the southern coastal sector of Kalinga represented by Ganjam and Brahmapur.,false
province,ganzhou_gansu_province,gansu_area,land,Zhangye Commandery,Han Chinese transliteration,attested Han administrative unit,installed:in_game/map_data/definitions.txt;BHR;CHG;https://ctext.org/han-shu/di-li-zhi-xia/ens,high,Zhangye Commandery covered the Ganzhou-Shandan section of the Hexi corridor and was established before AD 1.,false
province,ganzhou_province,jiangxi_area,land,Southern Yuzhang–Gan Basin,Han Chinese transliteration / hydronym,attested commandery with river-basin subdivision,installed:in_game/map_data/definitions.txt;BHR;CHG;https://ctext.org/han-shu/di-li-zhi-xia/ens,high,Ganxian Yudu and Xinfeng form the southern Gan River sector of Han Yuzhang Commandery.,false
province,gao_province,gao_area,land,Kukiya–Tilemsi Niger Bend,regional toponyms / English,settlement-corridor and river-bend construction,installed:in_game/map_data/definitions.txt;CAM-MLR;https://www.britannica.com/place/Niger-River;GEO-PROXY,medium,Kukiya and the Tilemsi corridor localize the eastern Niger Bend without backdating medieval Gao or Tadmekka polities.,false
province,gaotang_province,shandong_area,land,Pingyuan–Qinghe March,Han Chinese transliteration / English,attested commanderies and border-zone construction,installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens;GEO-PROXY,medium,The Gaotang-Xiajin footprint lies between the Han Pingyuan and Qinghe administrative zones on the northwestern Shandong plain.,false
province,gaoyou_province,huaidong_area,land,Gaoyou Marshes of Guangling,Han Chinese transliteration,attested county and commandery landscape construction,installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens;GEO-PROXY,high,Gaoyou was a Han county within the marsh-and-lake northern sector of Guangling Commandery.,false
